PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Kladar, N; Mrdanovic, J; Anackov, G; Solajic, S; Gavaric, N; Srdenovic, B; Bozin, B				Kladar, Nebojsa; Mrdanovic, Jasminka; Anackov, Goran; Solajic, Slavica; Gavaric, Neda; Srdenovic, Branislava; Bozin, Biljana			Hypericum perforatum: Synthesis of Active Principles during Flowering and Fruitification-Novel Aspects of Biological Potential	EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE																	Conic, Branislava Srdjenovic/AAT-2438-2020; Kladar, Nebojša/AAY-7849-2020	Kladar, Nebojša/0000-0001-5781-6412; Srdjenovic Conic, Branislava/0000-0003-3344-9229; Mrdjanovic (Mrdanovic), Jasminka/0000-0003-3486-1610; Bozin, Biljana/0000-0002-4018-3337; Gavaric, Neda/0000-0002-7457-2867													1741-427X	1741-4288					2017	2017								2865610	10.1155/2017/2865610	http://dx.doi.org/10.1155/2017/2865610								29362586					WOS:000415807200001
J	Yunusova, N; Kim, JY; Lee, GJ; Hong, JY; Shin, BK; Cai, SQ; Piao, XL; Park, JH; Kwon, SW				Yunusova, Nozimakhonim; Kim, Jae Young; Lee, Gwang Jin; Hong, Ji Yeon; Shin, Byong-kyu; Cai, Shao-Qing; Piao, Xiang-Lan; Park, Jeong Hill; Kwon, Sung Won			Comparison of ginsenosides in radix and rhizome of wild Panax species using LC-ELSD and LC-Q-TOF-MS	INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY																															0950-5423	1365-2621				JUL	2015	50	7					1607	1614		10.1111/ijfs.12814	http://dx.doi.org/10.1111/ijfs.12814													WOS:000356369700012
J	Al-Qurainy, F; Khan, S; Nadeem, M; Tarroum, M; Al-Ameri, A				Al-Qurainy, F.; Khan, S.; Nadeem, M.; Tarroum, M.; Al-Ameri, A.			Selection of DNA barcoding loci and phylogenetic study of a medicinal and endemic plant, Plectranthus asirensis JRI Wood from Saudi Arabia	GENETICS AND MOLECULAR RESEARCH																	AlQurainy, Fahd/GZA-7225-2022; khan, salim/HDO-3816-2022; Alameri, Abdulhafed Abdullah/AFF-8560-2022	khan, salim/0000-0003-1582-0266; 														1676-5680					2014	13	3					6184	6190		10.4238/2014.August.7.31	http://dx.doi.org/10.4238/2014.August.7.31								25117374					WOS:000340383600158
J	Hruska, AM; Souther, S; Mcgraw, JB				Hruska, Amy M.; Souther, Sara; Mcgraw, James B.			Songbird dispersal of American ginseng (Panax quinquefolius)	ECOSCIENCE																		Souther, Sara/0000-0001-5818-6467													1195-6860	2376-7626					2014	21	1					46	55		10.2980/21-1-3679	http://dx.doi.org/10.2980/21-1-3679													WOS:000348286800005
J	Joshi, KR; Devkota, HP; Watanabe, T; Yahara, S				Joshi, Khem Raj; Devkota, Hari Prasad; Watanabe, Takashi; Yahara, Shoji			Phenolic compounds from the flowers of Nepalese medicinal plant Aconogonon molle and their DPPH free radical-scavenging activities	NATURAL PRODUCT RESEARCH																	Devkota, Hari Prasad/H-9939-2019	Devkota, Hari Prasad/0000-0002-0509-1621													1478-6419	1478-6427					2014	28	23					2208	2210		10.1080/14786419.2014.915829	http://dx.doi.org/10.1080/14786419.2014.915829								24825068					WOS:000342326400019
J	Wu, XB; Xue, J; Zhang, LL; Sun, N; Liu, DJ				Wu, Xiaobo; Xue, Jian; Zhang, Linlin; Sun, Nan; Liu, Dongjing			Effect of Three Pesticides on Chlorogenic Acid Concentration of Lonicera japonica Thunb	ASIAN JOURNAL OF CHEMISTRY																															0970-7077	0975-427X				SEP	2012	24	9					3829	3832																WOS:000310770900012
J	Ranilla, LG; Apostolidis, E; Shetty, K				Galvez Ranilla, Lena; Apostolidis, Emmanouil; Shetty, Kalidas			Antimicrobial Activity of an Amazon Medicinal Plant (Chancapiedra) (Phyllanthus niruri L.) against Helicobacter pylori and Lactic Acid Bacteria	PHYTOTHERAPY RESEARCH																	Shetty, Kalidas/A-9225-2017	Shetty, Kalidas/0000-0002-7290-1022; Galvez Ranilla, Lena/0000-0002-7261-3303													0951-418X	1099-1573				JUN	2012	26	6					791	799		10.1002/ptr.3646	http://dx.doi.org/10.1002/ptr.3646								22034238					WOS:000304816700001
J	Geroushi, A; Auzi, AA; Elhwuegi, AS; Elzawam, F; El-Sherif, A; Nahar, L; Sarker, SD				Geroushi, Afaf; Auzi, Abdurazag A.; Elhwuegi, Abdalla S.; Elzawam, Fawzi; El-Sherif, Akram; Nahar, Lutfun; Sarker, Satyajit D.			Antinociceptive and Anti-inflammatory Activity of Ferula hermonis Root Oil in Experimental Animals	LATIN AMERICAN JOURNAL OF PHARMACY																	Nahar, Lutfun/AHE-0048-2022; Sarker, Satyajit D./ABC-6278-2021; Elhwuegi, Abdalla Salem/AAQ-2757-2021	Nahar, Lutfun/0000-0002-1157-2405; Sarker, Satyajit D./0000-0003-4038-0514; Elhwuegi, Abdalla Salem/0000-0002-9763-9470													0326-2383					DEC	2010	29	8					1436	1439																WOS:000288060000025
J	Pandey, A; Jaiswal, D; Agrawal, M; Agrawal, SB				Pandey, A.; Jaiswal, D.; Agrawal, M.; Agrawal, S. B.			Changes in ultrastructure, photosynthetic abilities, and secondary metabolite due to individual and interactive effects of chromium and ultraviolet-B radiation in Adhatoda vasica	PHOTOSYNTHETICA																															0300-3604	1573-9058				2022 OCT 3	2022										10.32615/ps.2022.042	http://dx.doi.org/10.32615/ps.2022.042		OCT 2022											WOS:000868682800001
J	Das, A; Ghosh, S				Das, Anuradha; Ghosh, Shyamasree			Determination of chiral bioactive molecules in Justicia adhatoda leaves by GC-MS	CHIRALITY																		DAS, ANURADHA/0000-0002-8352-7750; ghosh, shyamasree/0000-0001-9601-1350													0899-0042	1520-636X				NOV	2022	34	11					1453	1465		10.1002/chir.23504	http://dx.doi.org/10.1002/chir.23504		AUG 2022						36046957					WOS:000847996900001
