"","sci_name","uid","count"
"1","Withania somnifera",126910,221
"2","Salvia miltiorrhiza",226208,214
"3","Moringa oleifera",3735,211
"4","Panax ginseng",4054,154
"5","Catharanthus roseus",4058,148
"6","Andrographis paniculata",175694,139
"7","Cannabis sativa",3483,126
"8","Centella asiatica",48106,119
"9","Nigella sativa",555479,117
"10","Aloe vera",34199,115
"11","Hypericum perforatum",65561,113
"12","Artemisia annua",35608,110
"13","Ocimum basilicum",39350,104
"14","Panax notoginseng",44586,100
"15","Curcuma longa",136217,97
"16","Salvia officinalis",38868,95
"17","Melissa officinalis",39338,84
"18","Momordica charantia",3673,83
"19","Azadirachta indica",124943,82
"20","Stevia rebaudiana",55670,80
"21","Dendrobium officinale",142615,79
"22","Bacopa monnieri",263974,78
"23","Ginkgo biloba",3311,76
"24","Silybum marianum",92921,76
"25","Zingiber officinale",94328,74
"26","Salvia rosmarinus",39367,71
"27","Glycyrrhiza glabra",49827,70
"28","Ocimum tenuiflorum",204149,68
"29","Tinospora cordifolia",285590,68
"30","Thymus vulgaris",49992,66
"31","Scutellaria baicalensis",65409,63
"32","Calotropis procera",141467,62
"33","Glycyrrhiza uralensis",74613,61
"34","Anethum foeniculum",2849586,59
"35","Allium sativum",4682,58
"36","Echinacea purpurea",53751,58
"37","Origanum vulgare",39352,58
"38","Crocus sativus",82528,54
"39","Astragalus membranaceus",649199,53
"40","Gymnema sylvestre",4068,52
"41","Mentha x piperita",34256,50
"42","Rehmannia glutinosa",99300,50
"43","Lonicera japonica",105884,48
"44","Paris polyphylla",49666,47
"45","Picrorhiza kurrooa",195120,47
"46","Allium cepa",4679,46
"47","Camellia sinensis",4442,43
"48","Cyclocarya paliurus",117167,43
"49","Emblica officinalis",296036,43
"50","Angelica sinensis",165353,42
"51","Coriandrum sativum",4047,42
"52","Eucommia ulmoides",4392,41
"53","Matricaria chamomilla",98504,41
"54","Plectranthus barbatus",41228,41
"55","Valeriana jatamansi",59170,41
"56","Cymbopogon citratus",66014,39
"57","Peganum harmala",43879,39
"58","Perilla frutescens",48386,39
"59","Portulaca oleracea",46147,39
"60","Urtica dioica",3501,39
"61","Justicia adhatoda",141317,38
"62","Matricaria chamomilla var. recutita",127986,38
"63","Murraya koenigii",159030,38
"64","Zanthoxylum armatum",67938,38
"65","Aegle marmelos",68527,37
"66","Gastrodia elata",91201,37
"67","Houttuynia cordata",16752,37
"68","Solanum nigrum",4112,37
"69","Calendula officinalis",41496,36
"70","Psidium guajava",120290,36
"71","Trachyspermum ammi",52570,36
"72","Nelumbo nucifera",4432,35
"73","Zataria multiflora",751877,35
"74","Lavandula angustifolia",39329,34
"75","Morus alba",3498,34
"76","Rhodiola rosea",203015,34
"77","Schisandra chinensis",50507,34
"78","Acorus calamus",4465,33
"79","Clitoria ternatea",43366,33
"80","Morinda citrifolia",43522,33
"81","Myrtus communis",119949,33
"82","Plantago ovata",185002,33
"83","Punica granatum",22663,33
"84","Vitex negundo",361442,33
"85","Capparis spinosa",65558,32
"86","Citrullus colocynthis",252529,32
"87","Hibiscus sabdariffa",183260,32
"88","Lantana camara",126435,32
"89","Lessertia frutescens",47091,32
"90","Lycium barbarum",112863,32
"91","Mentha arvensis",292239,32
"92","Syzygium cumini",260142,32
"93","Teucrium polium",1117157,32
"94","Annona muricata",13337,31
"95","Cuminum cyminum",52462,31
"96","Gymnanthemum amygdalinum",82755,31
"97","Hippophae rhamnoides",193516,31
"98","Mucuna pruriens",157652,31
"99","Swertia chirayita",137887,31
"100","Tetrastigma hemsleyanum",1006121,31
"101","Chrysanthemum x morifolium",41568,30
"102","Codonopsis pilosula",86864,30
"103","Lawsonia inermis",141191,30
"104","Paeonia lactiflora",35924,30
"105","Panax quinquefolius",44588,30
"106","Platycodon grandiflorus",94286,30
"107","Saussurea costus",324593,30
"108","Atractylodes lancea",41486,29
"109","Pinellia ternata",199225,29
"110","Asparagus racemosus",272846,28
"111","Clinacanthus nutans",714457,28
"112","Gloriosa superba",41220,28
"113","Piper nigrum",13216,28
"114","Pogostemon cablin",28511,28
"115","Rhazya stricta",396313,28
"116","Tribulus terrestris",210369,28
"117","Valeriana officinalis",19953,28
"118","Achillea millefolium",13329,27
"119","Carica papaya",3649,27
"120","Mentha spicata",29719,27
"121","Ocimum gratissimum",204144,27
"122","Plumbago zeylanica",76149,27
"123","Prunella vulgaris",39358,27
"124","Ricinus communis",3988,27
"125","Sinopodophyllum hexandrum",93608,27
"126","Ziziphus jujuba",326968,27
"127","Arctium lappa",4217,26
"128","Isatis indigotica",3242077,26
"129","Dendrobium nobile",94219,25
"130","Dracocephalum kotschyi",180015,25
"131","Eleutherococcus senticosus",82096,25
"132","Fagopyrum tataricum",62330,25
"133","Kaempferia parviflora",97751,25
"134","Polygonum cuspidatum",83819,25
"135","Taraxacum officinale",50225,25
"136","Tripterygium wilfordii",458696,25
"137","Astragalus mongholicus",119829,24
"138","Boerhavia diffusa",930814,24
"139","Mentha longifolia",38859,24
"140","Oroxylum indicum",83951,24
"141","Piper betle",13217,24
"142","Thymus daenensis",568785,24
"143","Vachellia nilotica",138033,24
"144","Artemisia argyi",259893,23
"145","Bletilla striata",78707,23
"146","Cassia fistula",53852,23
"147","Gynostemma pentaphyllum",182084,23
"148","Lippia alba",320345,23
"149","Lippia origanoides",542673,23
"150","Orthosiphon stamineus",260636,23
"151","Physalis angulata",113208,23
"152","Pseudostellaria heterophylla",418402,23
"153","Senna alexandrina",72402,23
"154","Artemisia absinthium",72332,22
"155","Carthamus tinctorius",4222,22
"156","Coptis chinensis",261450,22
"157","Dracocephalum moldavica",39296,22
"158","Melia azedarach",155640,22
"159","Rauvolfia serpentina",4060,22
"160","Tagetes erecta",13708,22
"161","Arnica montana",436207,21
"162","Dendrobium catenatum",906689,21
"163","Dracocephalum officinale",39324,21
"164","Eclipta alba",2448053,21
"165","Guilandina bonduc",191881,21
"166","Gynura procumbens",648871,21
"167","Mentha pulegium",294739,21
"168","Papaver somniferum",3469,21
"169","Phyllanthus niruri",296034,21
"170","Saraca asoca",1073321,21
"171","Satureja hortensis",49987,21
"172","Withania coagulans",180581,21
"173","Alstonia scholaris",52822,20
"174","Anoectochilus roxburghii",569774,20
"175","Bidens pilosa",42337,20
"176","Cichorium intybus",13427,20
"177","Cinnamomum verum",128608,20
"178","Coleus amboinicus",204180,20
"179","Commiphora wightii",246360,20
"180","Cullen corylifolium",429560,20
"181","Elwendia persica",377494,20
"182","Kaempferia galanga",97750,20
"183","Kalanchoe pinnata",80913,20
"184","Mangifera indica",29780,20
"185","Mitragyna speciosa",170351,20
"186","Rhus coriaria",298661,20
"187","Solanum virginianum",223891,20
"188","Sophora flavescens",49840,20
"189","Abelmoschus esculentus",455045,19
"190","Aconitum carmichaelii",85363,19
"191","Anethum graveolens",40922,19
"192","Biancaea sappan",483143,19
"193","Dendrobium huoshanense",154293,19
"194","Euphorbia hirta",318062,19
"195","Eurycoma longifolia",458531,19
"196","Fallopia multiflora",76025,19
"197","Hemidesmus indicus",63476,19
"198","Juglans regia",51240,19
"199","Lepidium sativum",33125,19
"200","Marrubium vulgare",41230,19
"201","Nardostachys jatamansi",179860,19
"202","Paeonia ostii",459177,19
"203","Pueraria montana var. lobata",3893,19
