"","id","uid","sci_name"
"1",53,"92921","Silybum marianum"
"2",54,"231663","Clematis terniflora"
"3",55,"699658","Lemmaphyllum carnosum var. drymoglossoides"
"4",65,"462879","Solidago virgaurea"
"5",76,"1436133","Actinacidiphila bryophytorum"
"6",76,"93611","Dysosma versipellis"
"7",81,"65672","Serendipita indica"
"8",81,"263974","Bacopa monnieri"
"9",85,"261420","Polygonatum kingianum"
"10",89,"362630","Leuzea carthamoides"
"11",98,"41496","Calendula officinalis"
"12",104,"197","Campylobacter jejuni"
"13",106,"7038","Bemisia tabaci"
"14",111,"328782","Costus spicatus"
"15",125,"39291","Athelia rolfsii"
"16",127,"284360","Rheum webbianum"
"17",128,"226101","Aconitum vilmorinianum"
"18",129,"1497598","Eremurus persicus"
"19",130,"63351","Epimedium koreanum"
"20",131,"1548556","Chiliadenus iphionoides"
"21",132,"40708","Paeonia emodi"
"22",148,"48386","Perilla frutescens"
"23",149,"128002","Tanacetum vulgare"
"24",150,"5077","Penicillium citrinum"
"25",154,"167921","Clerodendrum japonicum"
"26",155,"85363","Aconitum carmichaelii"
"27",157,"74613","Glycyrrhiza uralensis"
"28",161,"335180","Cistus munbyi"
"29",173,"397648","Stryphnodendron adstringens"
"30",181,"994668","Celastrus paniculatus"
"31",184,"157409","Cynanchum auriculatum"
"32",186,"216016","Mesembryanthemum tortuosum"
"33",187,"126641","Gymnotheca involucrata"
"34",189,"458696","Tripterygium wilfordii"
"35",191,"226208","Salvia miltiorrhiza"
"36",197,"226208","Salvia miltiorrhiza"
"37",200,"483143","Biancaea sappan"
"38",202,"568785","Thymus daenensis"
"39",206,"136217","Curcuma longa"
"40",207,"312798","Ferula aucheri"
"41",208,"458531","Eurycoma longifolia"
"42",208,"359","Agrobacterium rhizogenes"
"43",212,"862860","Hypoxis hemerocallidea"
"44",213,"159425","Passiflora incarnata"
"45",214,"1888176","Monsonia burkeana"
"46",221,"470570","Epilobium montanum"
"47",223,"225203","Gentiana dahurica"
"48",228,"94286","Platycodon grandiflorus"
"49",230,"587397","Ardisia brevicaulis"
"50",233,"158836","Enterobacter hormaechei"
"51",233,"414644","Pellaea calomelanos"
"52",236,"1869214","Rheinheimera sp."
"53",236,"53751","Echinacea purpurea"
"54",237,"1090621","Stereospermum colais"
"55",240,"714476","Gynura bicolor"
"56",241,"296034","Phyllanthus niruri"
"57",243,"97750","Kaempferia galanga"
"58",244,"142615","Dendrobium officinale"
"59",249,"106556","Malus hupehensis"
"60",250,"199225","Pinellia ternata"
"61",252,"96455","Persicaria tinctoria"
"62",253,"68554","Phellodendron amurense"
"63",255,"362788","Senna tora"
"64",257,"1076878","Erythrina velutina"
"65",257,"4679","Allium cepa"
"66",258,"152095","Fritillaria unibracteata"
"67",260,"53923","Senna alata"
"68",262,"2026817","Nepeta dschuparensis"
"69",264,"2364912","Onosma dichroantha"
"70",266,"137229","Rumex patientia"
"71",268,"91943","Hortaea werneckii"
"72",271,"4076","Datura stramonium"
"73",273,"159698","Anacyclus pyrethrum"
"74",274,"4076","Datura stramonium"
"75",276,"141317","Justicia adhatoda"
"76",278,"1042520","Scrophularia striata"
"77",281,"225785","Colchicum luteum"
"78",282,"195120","Picrorhiza kurrooa"
"79",284,"4100","Nicotiana benthamiana"
"80",286,"261449","Coptis deltoidea"
"81",288,"136891","Benkara malabarica"
"82",289,"4058","Catharanthus roseus"
"83",294,"714512","Uncaria hirsuta"
"84",296,"185950","Sphingomonas faeni"
"85",297,"670324","Pleurolobus gangeticus"
"86",307,"230192","Solanum lyratum"
"87",310,"4414","Euryale ferox"
"88",313,"66675","Cochlospermum vitifolium"
"89",316,"1042514","Scrophularia megalantha"
"90",321,"92921","Silybum marianum"
"91",322,"1080328","Angelica shikokiana"
"92",326,"119826","Astragalus hoantchy"
"93",333,"33152","Ephedra sinica"
"94",334,"470","Acinetobacter baumannii"
"95",338,"1707706","Talaromyces sp."
"96",338,"294170","Duguetia stelechantha"
"97",339,"326968","Ziziphus jujuba"
"98",341,"168183","Costus pictus"
"99",344,"49605","Rhododendron groenlandicum"
"100",345,"41401","Phryma leptostachya"
"101",345,"7370","Musca domestica"
"102",347,"306403","Satureja mutica"
"103",348,"185653","Heliopsis longipes"
"104",350,"43875","Nitraria retusa"
"105",351,"80913","Kalanchoe pinnata"
"106",353,"326624","Annulohypoxylon multiforme"
"107",355,"1715238","Nigrospora sp."
"108",356,"41776","Nandina domestica"
"109",357,"323043","Croton crassifolius"
"110",360,"2873749","Mesostemma dichotomum"
"111",361,"39358","Prunella vulgaris"
"112",362,"272846","Asparagus racemosus"
"113",363,"13055","Chamaenerion angustifolium"
"114",364,"204974","Entada rheedei"
"115",371,"4058","Catharanthus roseus"
"116",376,"330163","Dysphania ambrosioides"
"117",376,"290247","Lutjanus peru"
"118",377,"285590","Tinospora cordifolia"
"119",378,"429679","Zeyheria montana"
"120",380,"321550","Libidibia coriaria"
"121",380,"6289","Haemonchus contortus"
"122",381,"74632","Rosa gallica"
"123",382,"117798","Aloe ferox"
"124",383,"555479","Nigella sativa"
"125",384,"200489","Saussurea involucrata"
"126",385,"78707","Bletilla striata"
"127",390,"1822395","Hyoscyamus reticulatus"
"128",391,"107240","Scoparia dulcis"
"129",393,"5077","Penicillium citrinum"
"130",393,"1501466","Stephania kwangsiensis"
"131",394,"56525","Dittrichia viscosa"
"132",395,"13447","Conium maculatum"
"133",396,"1786036","Rumex pictus"
"134",397,"328783","Costus spiralis"
"135",399,"3673","Momordica charantia"
"136",400,"39338","Melissa officinalis"
"137",401,"74613","Glycyrrhiza uralensis"
"138",402,"396313","Rhazya stricta"
"139",402,"92692","Rhyzopertha dominica"
"140",402,"591392","Trogoderma granarium"
"141",404,"238277","Lopezia racemosa"
"142",405,"361442","Vitex negundo"
"143",410,"55312","Echinodorus grandiflorus"
"144",411,"285590","Tinospora cordifolia"
"145",414,"39414","Plantago lanceolata"
"146",416,"572115","Phlomoides rotata"
"147",418,"63500","Vincetoxicum indicum"
"148",421,"137888","Swertia mussotii"
"149",422,"360621","Heracleum persicum"
"150",423,"452457","Persicaria capitata"
"151",430,"1859700","Albifimbria viridis"
"152",432,"1972052","Serjania marginata"
"153",433,"264982","Prosopis farcta"
"154",435,"13329","Achillea millefolium"
"155",436,"1006137","Tetrastigma planicaule"
"156",438,"2011878","Seimatosporium sp."
"157",438,"65561","Hypericum perforatum"
"158",439,"2918710","Daphne aurantiaca"
"159",440,"35608","Artemisia annua"
"160",441,"545644","Lindera aggregata"
"161",442,"85864","Magnolia officinalis"
"162",443,"70070","Kigelia africana"
"163",445,"2708828","Erythrina vogelii"
"164",446,"200487","Ferula feruloides"
"165",449,"1756127","Periconia sp."
"166",450,"1715255","Xylaria sp."
"167",451,"39358","Prunella vulgaris"
"168",452,"587669","Isodon rubescens"
"169",453,"176868","Ostryopsis nobilis"
"170",454,"52844","Cryptolepis nigrescens"
"171",456,"63588","Trichoderma spirale"
"172",456,"210372","Aquilaria sinensis"
"173",457,"398630","Cnidoscolus aconitifolius"
"174",458,"662907","Isodon eriocalyx"
"175",459,"239685","Aconitum kusnezoffii"
"176",463,"185542","Ilex paraguariensis"
"177",465,"91937","Phialocephala lagerbergii"
"178",466,"298644","Crataegus azarolus"
"179",467,"3024742","Breynia temii"
"180",468,"34199","Aloe vera"
"181",471,"1208125","Indigofera aspalathoides"
"182",472,"82528","Crocus sativus"
"183",474,"336258","Dioscorea panthaica"
"184",477,"3735","Moringa oleifera"
"185",479,"246360","Commiphora wightii"
"186",480,"34199","Aloe vera"
"187",484,"1773","Mycobacterium tuberculosis"
"188",485,"4058","Catharanthus roseus"
"189",489,"157934","Ophiorrhiza pumila"
"190",490,"305","Ralstonia solanacearum"
"191",493,"124779","Kadsura angustifolia"
"192",496,"2974054","Ruscus hyrcanus"
"193",497,"59038","Scadoxus puniceus"
"194",498,"1926966","Baccharis genistelloides subsp. crispa"
"195",501,"81800","Drimia indica"
"196",502,"165199","Actinidia callosa"
"197",503,"1073321","Saraca asoca"
"198",504,"119829","Astragalus mongholicus"
"199",505,"141317","Justicia adhatoda"
"200",508,"2583432","Ferulago stellata"
"201",510,"227910","Taxillus sutchuenensis"
"202",513,"337188","Przewalskia tangutica"
"203",514,"96455","Persicaria tinctoria"
"204",515,"102285","Rodentolepis nana"
"205",516,"272846","Asparagus racemosus"
"206",517,"137888","Swertia mussotii"
"207",518,"65561","Hypericum perforatum"
"208",519,"55670","Stevia rebaudiana"
"209",520,"2711148","Polyscias filicifolia"
"210",521,"1281418","Ipomoea staphylina"
"211",524,"354617","Ibervillea sonorae"
"212",527,"108377","Sida rhombifolia"
"213",530,"1114304","Satureja khuzistanica"
"214",532,"1081520","Monteverdia ilicifolia"
"215",532,"1352902","Aniba rosaeodora"
"216",535,"66014","Cymbopogon citratus"
"217",536,"45133","Lasiodiplodia theobromae"
"218",536,"43522","Morinda citrifolia"
"219",537,"371349","Ferula gummosa"
"220",538,"327332","Liparis nervosa"
"221",539,"285590","Tinospora cordifolia"
"222",540,"2321367","Endopleura uchi"
"223",541,"206309","Sesbania grandiflora"
"224",542,"76405","Cunninghamella echinulata"
"225",543,"159030","Murraya koenigii"
"226",543,"5476","Candida albicans"
"227",544,"545371","Rauvolfia tetraphylla"
"228",545,"4217","Arctium lappa"
"229",547,"2759587","Adiantum nelumboides"
"230",548,"126910","Withania somnifera"
"231",549,"79158","Ammodaucus leucotrichus"
"232",550,"107240","Scoparia dulcis"
"233",552,"392637","Salvia scrophulariifolia"
"234",553,"2873749","Mesostemma dichotomum"
"235",554,"72187","Hylomecon japonica"
"236",555,"334703","Euphorbia lugardae"
"237",556,"185002","Plantago ovata"
"238",558,"1610806","Isodon wightii"
"239",559,"50507","Schisandra chinensis"
"240",563,"54835","Leucojum aestivum"
"241",564,"1640437","Zanthoxylum rhetsum"
"242",565,"1934353","Amesia nigricolor"
"243",579,"4307","Euonymus alatus"
"244",581,"123464","Reissantia grahamii"
"245",582,"1288013","Erythrina suberosa"
"246",583,"1931","Streptomyces sp."
"247",583,"119260","Cinnamomum aromaticum"
"248",584,"180424","[Sclerotium] delphinii"
"249",584,"175694","Andrographis paniculata"
"250",585,"278077","Bergenia ciliata"
"251",586,"947972","Aster koraiensis"
"252",587,"1881983","Xylariaceae sp."
"253",589,"126641","Gymnotheca involucrata"
"254",590,"3649","Carica papaya"
"255",590,"714457","Clinacanthus nutans"
"256",592,"283121","Flueggea virosa"
"257",593,"260636","Orthosiphon stamineus"
