,id,uid,sci_name,kingdom
1,53,92921,Silybum marianum,33090
2,54,231663,Clematis terniflora,33090
3,55,699658,Lemmaphyllum carnosum var. drymoglossoides,33090
4,65,462879,Solidago virgaurea,33090
5,76,93611,Dysosma versipellis,33090
6,81,263974,Bacopa monnieri,33090
7,85,261420,Polygonatum kingianum,33090
8,89,362630,Leuzea carthamoides,33090
9,98,41496,Calendula officinalis,33090
10,111,328782,Costus spicatus,33090
11,127,284360,Rheum webbianum,33090
12,128,226101,Aconitum vilmorinianum,33090
13,129,1497598,Eremurus persicus,33090
14,130,63351,Epimedium koreanum,33090
15,131,1548556,Chiliadenus iphionoides,33090
16,132,40708,Paeonia emodi,33090
17,148,48386,Perilla frutescens,33090
18,149,128002,Tanacetum vulgare,33090
19,154,167921,Clerodendrum japonicum,33090
20,155,85363,Aconitum carmichaelii,33090
21,157,74613,Glycyrrhiza uralensis,33090
22,161,335180,Cistus munbyi,33090
23,173,397648,Stryphnodendron adstringens,33090
24,181,994668,Celastrus paniculatus,33090
25,184,157409,Cynanchum auriculatum,33090
26,186,216016,Mesembryanthemum tortuosum,33090
27,187,126641,Gymnotheca involucrata,33090
28,189,458696,Tripterygium wilfordii,33090
29,191,226208,Salvia miltiorrhiza,33090
30,197,226208,Salvia miltiorrhiza,33090
31,200,483143,Biancaea sappan,33090
32,202,568785,Thymus daenensis,33090
33,206,136217,Curcuma longa,33090
34,207,312798,Ferula aucheri,33090
35,208,458531,Eurycoma longifolia,33090
36,212,862860,Hypoxis hemerocallidea,33090
37,213,159425,Passiflora incarnata,33090
38,214,1888176,Monsonia burkeana,33090
39,221,470570,Epilobium montanum,33090
40,223,225203,Gentiana dahurica,33090
41,228,94286,Platycodon grandiflorus,33090
42,230,587397,Ardisia brevicaulis,33090
43,233,414644,Pellaea calomelanos,33090
44,236,53751,Echinacea purpurea,33090
45,237,1090621,Stereospermum colais,33090
46,240,714476,Gynura bicolor,33090
47,241,296034,Phyllanthus niruri,33090
48,243,97750,Kaempferia galanga,33090
49,244,142615,Dendrobium officinale,33090
50,249,106556,Malus hupehensis,33090
51,250,199225,Pinellia ternata,33090
52,252,96455,Persicaria tinctoria,33090
53,253,68554,Phellodendron amurense,33090
54,255,362788,Senna tora,33090
55,257,1076878,Erythrina velutina,33090
56,257,4679,Allium cepa,33090
57,258,152095,Fritillaria unibracteata,33090
58,260,53923,Senna alata,33090
59,262,2026817,Nepeta dschuparensis,33090
60,264,2364912,Onosma dichroantha,33090
61,266,137229,Rumex patientia,33090
62,271,4076,Datura stramonium,33090
63,273,159698,Anacyclus pyrethrum,33090
64,274,4076,Datura stramonium,33090
65,276,141317,Justicia adhatoda,33090
66,278,1042520,Scrophularia striata,33090
67,281,225785,Colchicum luteum,33090
68,282,195120,Picrorhiza kurrooa,33090
69,284,4100,Nicotiana benthamiana,33090
70,286,261449,Coptis deltoidea,33090
71,288,136891,Benkara malabarica,33090
72,289,4058,Catharanthus roseus,33090
73,294,714512,Uncaria hirsuta,33090
74,297,670324,Pleurolobus gangeticus,33090
75,307,230192,Solanum lyratum,33090
76,310,4414,Euryale ferox,33090
77,313,66675,Cochlospermum vitifolium,33090
78,316,1042514,Scrophularia megalantha,33090
79,321,92921,Silybum marianum,33090
80,322,1080328,Angelica shikokiana,33090
81,326,119826,Astragalus hoantchy,33090
82,333,33152,Ephedra sinica,33090
83,338,294170,Duguetia stelechantha,33090
84,339,326968,Ziziphus jujuba,33090
85,341,168183,Costus pictus,33090
86,344,49605,Rhododendron groenlandicum,33090
87,345,41401,Phryma leptostachya,33090
88,347,306403,Satureja mutica,33090
89,348,185653,Heliopsis longipes,33090
90,350,43875,Nitraria retusa,33090
91,351,80913,Kalanchoe pinnata,33090
92,356,41776,Nandina domestica,33090
93,357,323043,Croton crassifolius,33090
94,360,2873749,Mesostemma dichotomum,33090
95,361,39358,Prunella vulgaris,33090
96,362,272846,Asparagus racemosus,33090
97,363,13055,Chamaenerion angustifolium,33090
98,364,204974,Entada rheedei,33090
99,371,4058,Catharanthus roseus,33090
100,376,330163,Dysphania ambrosioides,33090
101,377,285590,Tinospora cordifolia,33090
102,378,429679,Zeyheria montana,33090
103,380,321550,Libidibia coriaria,33090
104,381,74632,Rosa gallica,33090
105,382,117798,Aloe ferox,33090
106,383,555479,Nigella sativa,33090
107,384,200489,Saussurea involucrata,33090
