id,uid,sci_name,kingdom
1,188493,Etlingera elatior,33090
7,670384,Tontelea micrantha,33090
8,97751,Kaempferia parviflora,33090
10,13805,Sphagnum palustre,33090
11,29674,Eleusine indica,33090
14,179355,Dendrobium findlayanum,33090
15,94286,Platycodon grandiflorus,33090
16,458692,Corydalis yanhusuo,33090
19,520843,Flemingia macrophylla,33090
21,2448053,Eclipta alba,33090
22,324593,Saussurea costus,33090
23,137893,Saussurea medusa,33090
29,56525,Dittrichia viscosa,33090
31,141191,Lawsonia inermis,33090
34,136216,Curcuma kwangsiensis,33090
36,293752,Limonium sinense,33090
37,296034,Phyllanthus niruri,33090
37,92921,Silybum marianum,33090
38,265785,Atractylodes macrocephala,33090
39,1158923,Rotheca serrata,33090
40,282207,Anacyclus valentinus,33090
42,119829,Astragalus mongholicus,33090
46,74787,Tripolium pannonicum,33090
47,20401,Astragalus adsurgens,33090
47,649199,Astragalus membranaceus,33090
51,326968,Ziziphus jujuba,33090
52,141467,Calotropis procera,33090
55,196574,Adonis amurensis,33090
57,3735,Moringa oleifera,33090
58,180536,Eruca vesicaria,33090
59,409512,Spiraea hypericifolia,33090
60,421226,Cocculus hirsutus,33090
61,2184037,Satureja rechingeri,33090
62,136217,Curcuma longa,33090
63,124943,Azadirachta indica,33090
63,4068,Gymnema sylvestre,33090
63,3735,Moringa oleifera,33090
64,1071187,Pterocarpus marsupium,33090
70,267598,Convolvulus oxyphyllus,33090
71,1508160,Oreocome striata,33090
74,39331,Lavandula latifolia,33090
74,145753,Malva parviflora,33090
75,2860797,Euploca rariflora,33090
76,3119529,Mesembryanthemum cryptanthum,33090
80,204129,Mesosphaerum suaveolens,33090
82,2794979,Lippia lasiocalycina,33090
83,54732,Magnolia kobus,33090
84,3735,Moringa oleifera,33090
86,76149,Plumbago zeylanica,33090
87,323898,Guadua angustifolia,33090
88,103745,Chromolaena odorata,33090
88,82755,Gymnanthemum amygdalinum,33090
88,66014,Cymbopogon citratus,33090
89,39296,Dracocephalum moldavica,33090
91,221260,Paris polyphylla var. yunnanensis,33090
92,3906,Vicia faba,33090
93,313960,Karelinia caspia,33090
94,226208,Salvia miltiorrhiza,33090
96,4217,Arctium lappa,33090
98,91201,Gastrodia elata,33090
99,328782,Costus spicatus,33090
100,4442,Camellia sinensis,33090
100,3498,Morus alba,33090
101,4222,Carthamus tinctorius,33090
103,756639,Euphorbia uralensis,33090
104,289767,Semecarpus anacardium,33090
106,39470,Quercus infectoria,33090
108,180581,Withania coagulans,33090
112,252867,Lanxangia tsao-ko,33090
115,1665493,Hammada scoparia,33090
116,3527,Phytolacca americana,33090
118,261448,Coptis teeta,33090
119,52570,Trachyspermum ammi,33090
121,4432,Nelumbo nucifera,33090
124,3242077,Isatis indigotica,33090
126,198777,Mammea americana,33090
127,398531,Spenceria ramalana,33090
130,99300,Rehmannia glutinosa,33090
131,226101,Aconitum vilmorinianum,33090
132,1548656,Pulicaria burchardii,33090
137,68527,Aegle marmelos,33090
141,39367,Salvia rosmarinus,33090
143,52570,Trachyspermum ammi,33090
150,80338,Spondias mombin,33090
150,4270,Byrsonima crassifolia,33090
152,1127246,Anoectochilus lylei,33090
153,13708,Tagetes erecta,33090
154,41568,Chrysanthemum x morifolium,33090
158,1472648,Aquilaria agallochum,33090
168,384659,Achyranthes bidentata,33090
169,497761,Origanum dictamnus,33090
169,751862,Satureja pilosa,33090
170,318066,Tridax procumbens,33090
172,49827,Glycyrrhiza glabra,33090
174,19953,Valeriana officinalis,33090
176,44586,Panax notoginseng,33090
178,13708,Tagetes erecta,33090
181,314110,Aristolochia esperanzae,33090
193,226208,Salvia miltiorrhiza,33090
194,39376,Stachytarpheta cayennensis,33090
195,684020,Tithonia diversifolia,33090
201,151231,Haloxylon persicum,33090
211,1857566,Silene undulata,33090
212,123597,Cedrus atlantica,33090
213,261423,Polygonatum sibiricum,33090
214,49827,Glycyrrhiza glabra,33090
218,71650,Pinus roxburghii,33090
218,3341,Pinus wallichiana,33090
221,226208,Salvia miltiorrhiza,33090
223,4442,Camellia sinensis,33090
225,49839,Sophora davidii,33090
226,182084,Gynostemma pentaphyllum,33090
227,2849586,Anethum foeniculum,33090
228,119829,Astragalus mongholicus,33090
231,4392,Eucommia ulmoides,33090
234,357850,Angelica keiskei,33090
241,436207,Arnica montana,33090
241,436195,Arnica chamissonis,33090
246,3735,Moringa oleifera,33090
249,224168,Suaeda fruticosa,33090
250,96455,Persicaria tinctoria,33090
251,1006121,Tetrastigma hemsleyanum,33090
252,54835,Leucojum aestivum,33090
254,55575,Dioscorea polystachya,33090
258,49827,Glycyrrhiza glabra,33090
259,4058,Catharanthus roseus,33090
261,22663,Punica granatum,33090
262,49840,Sophora flavescens,33090
265,4060,Rauvolfia serpentina,33090
266,3735,Moringa oleifera,33090
267,260201,Pandanus amaryllifolius,33090
269,13708,Tagetes erecta,33090
270,572115,Phlomoides rotata,33090
271,483143,Biancaea sappan,33090
272,3311,Ginkgo biloba,33090
273,859838,Khaya grandifoliola,33090
276,265785,Atractylodes macrocephala,33090
278,483143,Biancaea sappan,33090
279,184418,Elaeocarpus angustifolius,33090
281,41496,Calendula officinalis,33090
