Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
5-Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,8,"Duke, 1992 *"
ACE-Inhibitor,5,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Aldose-Reductase-Inhibitor,6,"Duke, 1992 *"
Algicide,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Allelochemic,4,"Duke, 1992 *"
Allelopathic,6,"Duke, 1992 *"
Allergenic,10,"Martindale's 29th"
Analgesic,12,"Duke, 1992 *"
Anesthetic,10,"Yamamoto, A., Umemori, S., and Muranishi, S. 1993. Absorption Enhancement of Intrapulmonary Administered Insulin by Various Absorption Enhancers and Protease Inhibitors in Rats. J. Pharm. Pharmacol. 46: 14-18, 1994."
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anhydrotic,1,"Martindale's 29th"
Anorexic,1,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,9,"Duke, 1992 *"
Antiacne,6,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiadenomic,1,"Duke, 1992 *"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,8,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,8,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,3,"Duke, 1992 *"
Antialzheimeran?,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,1,"Duke, 1992 *"
Antiandrogenic,1,"Duke, 1992 *"
Antianemic,3,"Martindale's 29th"
Antianginal,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarachidonate,1,"Duke, 1992 *"
Antiarrhythmic,3,"Duke, 1992 *"
Antiarthritic,6,"Duke, 1992 *"
Antiasthmatic,5,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherosclerotic,4,"Duke, 1992 *"
Antibacillary,2,"Duke, 1992 *"
Antibacillus,1,"Duke, 1992 *"
Antibacterial,22,"Revista Itiliana Eppos, 12: 5, 1994."
AntiBPH,1,"Duke, 1992 *"
Antibronchitic,3,"Martindale's 28th"
Anticancer,4,"Duke, 1992 *"
"Anticancer (Cervix)",1,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
Anticanker,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticariogenic,5,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticataract,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticatarrh,1,"Martindale's 29th"
Anticephalagic,1,"Duke, 1992 *"
Anticervicaldysplasic,1,"Duke, 1992 *"
AntiCFS,2,"Duke, 1992 *"
Anticheilitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticholinesterase,1,"Duke, 1992 *"
Antichoreic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticirrhotic,1,"Duke, 1992 *"
Anticlimacteric,3,"Duke, 1992 *"
Anticoagulant,1,"Duke, 1992 *"
Anticoeliac,1,"Martindale's 28th"
Anticold,2,"Duke, 1992 *"
Anticolic,1,"Duke, 1992 *"
Anticolitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticonvulsant,7,"Duke, 1992 *"
Anticoronary,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
AntiCrohn's,2,"Martindale's 29th"
AntiCTS,1,"Duke, 1992 *"
Anticystinuric,1,"Duke, 1992 *"
