Activity,"Chemical Count",Reference
Abortifacient,2,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,1,"Duke, 1992 *"
Acidifier,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Additive,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adrenostimulant,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Allergenic,4,"Duke, 1992 *"
Analgesic,4,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anthelmintic,2,"Duke, 1992 *"
Antiacetylcholinesterase,2,"Duke, 1992 *"
Antiacne,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodynic,1,"Duke, 1992 *"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaging,2,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,1,"Duke, 1992 *"
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,4,"Duke, 1992 *"
Antialzheimeran,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,1,"Duke, 1992 *"
Antianemic,1,"Martindale's 29th"
Antianginal,1,"Duke, 1992 *"
Antianorectic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antianxiety,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiarthritic,3,"Duke, 1992 *"
Antiasthmatic,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherosclerotic,2,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,6,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiberiberi,1,"Duke, 1992 *"
Anticancer,3,"Duke, 1992 *"
"Anticancer (Breast)",1,"Duke, 1992 *"
"Anticancer (Gastric)",1,"Duke, 1992 *"
Anticanker,2,"Duke, 1992 *"
Anticarcinomic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticardiospasmic,1,"Duke, 1992 *"
Anticariogenic,1,"Duke, 1992 *"
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticephalagic,1,"Duke, 1992 *"
Anticervicaldysplasic,3,"Duke, 1992 *"
AntiCFS,1,"Duke, 1992 *"
Anticheilitic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antichilblain,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticlimacteric,2,"Duke, 1992 *"
Anticold,1,"Duke, 1992 *"
Anticolitic,1,"Duke, 1992 *"
Anticonvulsant,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticoronary,1,"Duke, 1992 *"
AntiCrohn's,1,"Martindale's 29th"
AntiCTS,1,"Duke, 1992 *"
Antidecubitic,3,"Martindale's 28th"
Antideliriant,1,"Duke, 1992 *"
Antidementia,3,"Duke, 1992 *"
