Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,3,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
5-HETE-Inhibitor,1,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,2,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acantholytic,2,"My Rodale Press Green Farmacy Draft, miscellaneous abstracts."
Acaricide,1,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Acnegenic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Addictive,1,"Science News, 145: 294."
Additive,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adjuvant,1,"Merck 11th Edition"
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Alcohol-Dehydrogenase-Inhibitor,2,"LAWSON in Koch, H. P. and Lawson, L. D., eds. 1996. Garlic- The
Science and therapeutic application of Allium sativum L. and related species. Williams & Wilkins, Baltimore. 329 pp."
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,9,"Duke, 1992 *"
Allelochemic,4,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,3,"Holappa, L.D., and Blum*, U. 1991. Effects of Exogenously Applied Ferulic Acid, a Potential Allelopathic Compound, on Leaf Growth, Water Utilization, and Endogenous Abscisic Acid Levels of Tomato, Cucumber, and Bean. J. of Chemical Ecology, 17(5): 865."
Allergenic,12,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amebicide,2,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,13,"Duke, 1992 *"
Androgenic,2,"Duke, 1992 *"
