Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,6,"Duke, 1992 *"
Acaricide,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adjuvant,1,"Merck 11th Edition"
AGEs-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,5,"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Allergenic,5,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,8,"Pakistan Encyclopedia Planta Medica. 1986."
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,2,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorectic?,1,"Martindale's 29th"
Anorexic,2,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,6,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
AntiAddisonian,1,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiadhesive,1,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,7,"Laekeman, G.M., Van Hoof, L., Haemers, A., Vanden Berghe, D.A., Herman, A.G., and Vlietinck, A.J. Eugenol a Valuable Compound for In Vitro Experimental Research and Worthwhile for Further In Vivo Investigation. Phytotherapy Research 4(3): 93, 1990."
Antiaging,3,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,6,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
