Activity,"Chemical Count",Reference
Antibacterial,2,"Duke, 1992 *"
Anticholestatic,1,"Duke, 1992 *"
Antidysenteric,2,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antihepatotoxic,1,"Duke, 1992 *"
Antiinflammatory,1,"Duke, 1992 *"
Antinephritic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antioxidant,2,"Duke, 1992 *"
Antipelvitic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antipneumonic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antipyretic,1,"Duke, 1992 *"
Antiradicular,1,"Duke, 1992 *"
Antisecretory,2,"Duke, 1992 *"
Antispermigenic,1,"Duke, 1992 *"
Antitonsilitic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antitubercular,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Choleretic,1,"Duke, 1992 *"
Contraceptive,1,"Duke, 1992 *"
Hepatoprotective,1,"Duke, 1992 *"
Leptospiricide,1,"Duke, 1992 *"
NO-Inhibitor,1,"Duke, 1992 *"
Pesticide,2,"Duke, 1992 *"
