Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
5-HETE-Inhibitor,1,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Additive,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adjuvant,1,"Merck 11th Edition"
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldose-Reductase-Inhibitor,3,"Okada,Y,et al.1995.Search for Naturally Occurring Substances to Prevent the Complications of Diabetes.II.Inhibitory Effect of Coumarin and Flavonoid Derivatives on Bovine Lens Aldose Reductase and Rabbit Platelet Aggregation.Chem Pharm Bull43(8):1385-1387"
Allelochemic,3,"Duke, 1992 *"
Allelopathic,1,"Holappa, L.D., and Blum*, U. 1991. Effects of Exogenously Applied Ferulic Acid, a Potential Allelopathic Compound, on Leaf Growth, Water Utilization, and Endogenous Abscisic Acid Levels of Tomato, Cucumber, and Bean. J. of Chemical Ecology, 17(5): 865."
Allergenic,7,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analeptic,2,"Duke, 1992 *"
Analgesic,11,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,3,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,2,"Martindale's 28th"
Anthelmintic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholinesterase,1,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,7,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiadrenergic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antiaflatoxin,1,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,8,"Ozaki, Y. and Ma, J-P. 1989. Inhibitory Effects of Tetramethylpyrazine and Ferulic Acid on Spontaneous Movement of Rat Uterus in Situ. Chem. Pharm. Bull. 38(6): 1620-1623, 1990."
Antiaging,4,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,5,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergic,5,"Duke, 1992 *"
Antialopecic,5,"Duke, 1992 *"
Antialzheimeran,8,"Duke, 1992 *"
Antialzheimeran?,1,"L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,6,"Martindale's 28th"
Antianginal,5,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
