Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,7,"Duke, 1992 *"
Allelochemic,4,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,2,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amebicide,1,"Atal and Kapur, 1982"
Analgesic,4,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacne,2,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiadrenergic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antiaflatoxin,3,"Duke, 1992 *"
Antiaggregant,4,"Duke, 1992 *"
Antiaging,2,"Duke, 1992 *"
Antialcoholic,1,"Duke, 1992 *"
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,5,"Duke, 1992 *"
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,1,"Duke, 1992 *"
Antianaphylactic,2,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianginal,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiapoplectic,1,"Duke, 1992 *"
Antiarrhythmic,4,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,7,"Economic & Medicinal Plant Research, 6: 189."
Antiasthmatic,3,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,10,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
Antibronchoconstrictor,1,"Duke, 1992 *"
Anticancer,4,"Duke, 1992 *"
