Activity,"Chemical Count",Reference
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Addictive,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Analgesic,2,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorectic,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
ANS-Paralytic,1,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
ANS-Stimulant,1,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
Antiadenomic,1,"Merck 11th Edition"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaging,1,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialkali?,1,"Martindale's 29th"
Antiallergic,2,"Duke, 1992 *"
Antialzheimeran,1,"Duke, 1992 *"
Antiandrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,1,"Martindale's 29th"
Antianxiety,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarrhythmic,1,"Duke, 1992 *"
Antiarthritic,2,"Duke, 1992 *"
Antiasthmatic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherosclerotic,2,"Duke, 1992 *"
Antibacterial,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Lung)",1,"Duke, 1992 *"
Anticanker,1,"Duke, 1992 *"
Anticataract,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticervicaldysplasic,1,"Duke, 1992 *"
AntiCFS,1,"Duke, 1992 *"
Anticheilitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antichilblain,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticlimacteric,2,"Duke, 1992 *"
Anticold,1,"Duke, 1992 *"
AntiCrohn's,2,"Martindale's 29th"
AntiCTS,1,"Duke, 1992 *"
Antidecubitic,1,"Martindale's 28th"
Antidementia,1,"Duke, 1992 *"
Antidepressant,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antidermatic,1,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp."
Antidiabetic,2,"Duke, 1992 *"
"Antidote (Aluminum)",2,"Economic & Medicinal Plant Research, 6: 189."
"Antidote (Cadmium)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Lead)",2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Paraquat)",1,"Martindale's 28th"
"Antidote (pesticides)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antieczemic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiedemic,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiencephalitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiendometriotic,1,"Duke, 1992 *"
Antiepileptic,1,"Duke, 1992 *"
Antiestrogenic,2,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifatigue,1,"Duke, 1992 *"
Antifeedant,2,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
Antifertility,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifibrotic,1,"Duke, 1992 *"
Antifumitory,1,"Economic & Medicinal Plant Research, 6: 189."
Antigallstone,1,"Duke, 1992 *"
Antigastritic,1,"Duke, 1992 *"
Antigingivitic,1,"Duke, 1992 *"
Antiglaucomic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antigonadotrophic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antihangover,1,"Duke, 1992 *"
Antihemorrhagic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antihepatitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antihepatotoxic,3,"Economic & Medicinal Plant Research, 6: 189."
Antiherpetic,2,"Duke, 1992 *"
Antihistaminic,1,"Duke, 1992 *"
Antihyperammonemic,1,"Martindale's 29th"
Antihyperkinetic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antihyperlipoproteinaemic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antihypertensive,3,"Duke, 1992 *"
Antiinfertility,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiinflammatory,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiinsomniac,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiketotic,1,"Merck 11th Edition"
Antilepric,1,"Martindale's 28th"
Antileukemic,1,"Duke, 1992 *"
Antilithic,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
AntiLyme,1,"Duke, 1992 *"
Antilymphomic,1,"Duke, 1992 *"
Antimaculitic,1,"Duke, 1992 *"
Antimeasles,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antimenopausal,2,"Duke, 1992 *"
Antimenorrhagic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antimigraine,1,"Martindale's 29th"
Antimorphinic,1,"Martindale's 28th"
Antimutagenic,3,"Economic & Medicinal Plant Research, 6: 235."
Antineuramidase,1,"Duke, 1992 *"
Antinitrosic,1,"Martindale's 28th"
Antinociceptive,1,"Duke, 1992 *"
Antiobesity,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiophidic,2,"Economic & Medicinal Plant Research, 5: 363."
Antiorchitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiosteoarthritic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiosteoporotic,3,"Duke, 1992 *"
Antioxidant,4,"Duke, 1992 *"
Antiparkinsonian,1,"Duke, 1992 *"
Antiparotitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiperiodontitic,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
AntiPMS,1,"Duke, 1992 *"
Antipneumonic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antipodriac,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antipoliomyelitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiprogestational,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiprostaglandin,1,"Duke, 1992 *"
Antiprostatadenomic,1,"Merck 11th Edition"
Antiprostatitic,2,"Duke, 1992 *"
Antipyretic,2,"Economic & Medicinal Plant Research, 6: 189."
Antiradicular,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
AntiRaynaud's,1,"Duke, 1992 *"
Antiretardation,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiretinotic,1,"Duke, 1992 *"
Antirheumatic,2,"Duke, 1992 *"
Antirhinitic,1,"Duke, 1992 *"
Antischizophrenic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiscorbutic,1,"Martindale's 28th"
Antiseptic,1,"Martindale's 28th"
Antiserotonin,1,"Duke, 1992 *"
Antishingles,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antispasmodic,1,"Duke, 1992 *"
Antistress,2,"Duke, 1992 *"
