Activity,"Chemical Count",Reference
(+)-Inotropic,2,"Bruneton, J. 1999. Pharmacognosy, Phytochemistry, Medicinal Plants. 2nd Ed. Lavoisier Publishing, Paris. 1119 pp."
11B-HSD-Inhibitor,4,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,3,"Duke, 1992 *"
Abortifacient,1,"Singla*, A.K. Pathak, K. 1989. Phytoconstituents of Euphorbia species. Fitoterapia 61(6): 483-508, 1990."
Absorbent,1,"Martindale's 29th"
Acaricide,6,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,18,"Duke, 1992 *"
Acetyl-CoA-Carboxylase-Inhibitor,2,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Addictive,1,"Science News, 145: 294."
Adenosine-Antagonist,1,"McKenna, D. J., Hughes, K., and Jones, K. 2000. Green Tea Monograph. Alternative Therapies, 6(3): 61-82."
Adjuvant,1,"Merck 11th Edition"
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,24,"Duke, 1992 *"
Allelochemic,12,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,1,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
Allergenic,29,"Martindale's 29th"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Anabolic,1,"Duke, 1992 *"
Analeptic,1,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
