Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
5-Alpha-Reductase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Acaricide,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Addictive,1,"Science News, 145: 294."
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Allelochemic,1,"Duke, 1992 *"
Allelopathic,2,"Duke, 1992 *"
Allergenic,4,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,9,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,3,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorexic,1,"Duke, 1992 *"
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,1,"Duke, 1992 *"
Antiacne,5,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
