Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,2,"Duke, 1992 *"
Adrenalin-Pressor,1,"Duke, 1992 *"
Adrenergic-Blocker,1,"Duke, 1992 *"
Adrenolytic,2,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Analgesic,4,"Martindale's 29th"
Androgenic,1,"Duke, 1992 *"
Anesthetic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Angiogenic,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacetylcholinesterase,2,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiadrenergic,2,"Duke, 1992 *"
Antiaflatoxin,2,"Duke, 1992 *"
Antiaggregant,4,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiallergic,3,"Duke, 1992 *"
Antialzheimeran,3,"Duke, 1992 *"
Antiamebic,1,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
Antianaphylactic,1,"Meli, R., Autore, G., Di Carlo, G., Capasso, F. Inhibitory Action of Quercetin on Intestinal Transit in Mice. Phytotherapy Research 4(5): 201, 1990."
