Activity,"Chemical Count",Reference
Abortifacient,1,"Cooper-Driver, G. A., Chemical substances in plants toxic to animals,  pp. 213-47 in Rechcigl, M., Jr., ed. CRC Handbook of Naturally Occurring Food Toxicants, CRC Press, Boca Raton,  1983, 339 pp."
Aldose-Reductase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Antiaggregant,1,"Medline (post 1990 searches filed in my computer)"
Antiangiogenic,1,"Duke, 1992 *"
Antiatherosclerotic,1,"Journal of Medicinal Food 2: 163.1999."
"Anticancer (Breast)",1,"Duke, 1992 *"
"Anticarcinomic (Breast)",1,"Medline (post 1990 searches filed in my computer)"
Anticlimacteric,1,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
Antiendoccytotic,1,"Medline (post 1990 searches filed in my computer)"
Antiestrogenic,1,"Duke, 1992 *"
Antifertility,1,"Duke, 1992 *"
Antihemolytic,1,"Duke, 1992 *"
Antiimplantation,1,"Duke, 1992 *"
Antiinflammatory,1,"Journal of Medicinal Food 2: 179.1999."
Antiischemic,1,"Medline (post 1990 searches filed in my computer)"
Antileukemic,1,"Duke, 1992 *"
Antileukotriene,1,"Medline (post 1990 searches filed in my computer)"
Antilymphomic,1,"Duke, 1992 *"
Antimelanomic,1,"Medline (post 1990 searches filed in my computer)"
Antimicrobial,1,"Duke, 1992 *"
Antimitogenic,1,"Duke, 1992 *"
Antimutagenic,1,"Maga, J.A. Contribution of Phenolic Compounds to Smoke Flavor. Phenolic Compounds in Food and Their Effects on Health, Ch.13."
Antineuroblastomic,1,"Duke, 1992 *"
Antiosteoporotic,1,"Duke, 1992 *"
Antioxidant,1,"Phenolic Compounds in Food and Their Effects on Health, 64."
Antiproliferative,1,"Duke, 1992 *"
Antiprostatadenomic,1,"Medline (post 1990 searches filed in my computer)"
Antiprostatitic,1,"Duke, 1992 *"
Antispasmodic,1,"Duke, 1992 *"
"Antitumor (Breast)",1,"Duke, 1992 *"
"Antitumor (GI)",1,"Duke, 1992 *"
"Antitumor (Ovary)",1,"Duke, 1992 *"
"Antitumor (Prostate)",1,"Duke, 1992 *"
"Antitumor (Stomach)",1,"Duke, 1992 *"
Antiulcer?,1,"Duke, 1992 *"
Antiviral,1,"Duke, 1992 *"
Apoptotic,1,"Duke, 1992 *"
Aromatase-Inhibitor,1,"Journal of Medicinal Food 2: 235.1999."
Calcium-Antagonist,1,"Duke, 1992 *"
Cancer-Preventive,1,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
Cardioprotective,1,"Journal of Medicinal Food 2: 163.1999."
Catechol-O-Methyltransferase-Inhibitor,1,"Duke, 1992 *"
Cytotoxic,1,"Medline (post 1990 searches filed in my computer)"
DOPA-Decarboxylase-Inhibitor,1,"Duke, 1992 *"
Estrogen-Agonist,1,"Journal of Medicinal Food 2: 139.1999."
Estrogenic,1,"Duke, 1992 *"
Flatulent,1,"Duke, 1992 *"
Fungicide,1,"Geibel, M. 1994. Sensitivity of the Fungus Cytospora persoonii to the Flavonoids of Prunus cerasus. Phytochemistry. 38(3): 599-601. 1995."
Fungistat,1,"Duke, 1992 *"
Histidine-Kinase-Inhibitor,1,"Medline (post 1990 searches filed in my computer)"
Hypocholesterolemic,1,"Duke, 1992 *"
Immunostimulant,1,"Duke, 1992 *"
Lipase-Inhibitor,1,"Duke, 1992 *"
MAO-Inhibitor,1,"Duke, 1992 *"
MDR-Inhibitor,1,"Castro, A. F., Altenberg, G. A. 1997. Inhibition of Drug Transport by Genistein in Multidrug-Resistant Cell Expressing P-Glycoprotein. Biochem Pharmacol, 53(1): 89-93."
NADH-Ubiquinone-Oxidoreductase-Inhibitor,1,"Duke, 1992 *"
Natriuretic,1,"Duke, 1992 *"
Ornithine-Decarboxylase-Inhibitor,1,"Duke, 1992 *"
Peroxidase-Inhibitor,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Pesticide,1,"Duke, 1992 *"
Phytoalexin,1,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Pituitary-sensitizer,1,"Medline (post 1990 searches filed in my computer)"
PTK-Inhibitor,1,"Duke, 1992 *"
Quinone-Reductase-Inducer,1,"Duke, 1992 *"
Topoisomerase-I-Inhibitor,1,"Duke, 1992 *"
Topoisomerase-II-Inhibitor,1,"Duke, 1992 *"
Topoisomerase-II-Poison,1,"Journal of Medicinal Food 2: 167.1999."
Trypanosomastat,1,"Medline (post 1990 searches filed in my computer)"
Tyrosine-Kinase-Inhibitor,1,"Duke, 1992 *"
Uterotrophic,1,"Duke, 1992 *"
VEGF-Inhibitor,1,"Duke, 1992 *"
