Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,5,"Duke, 1992 *"
ACE-Inhibitor,3,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Adjuvant,1,"Merck 11th Edition"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,5,"Duke, 1992 *"
Allelochemic,8,"Duke, 1992 *"
Allelopathic,3,"Duke, 1992 *"
Allergenic,11,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,3,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anthelmintic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,7,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,5,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
AntiADD,1,"Martindale's 29th"
Antiadenomic,1,"Duke, 1992 *"
Antiaflatoxin,2,"Duke, 1992 *"
Antiaggregant,3,"Duke, 1992 *"
Antiaging,2,"Duke, 1992 *"
Antialcoholic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,6,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,3,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,3,"Duke, 1992 *"
Antianemic,2,"Martindale's 28th"
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,1,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,5,"Duke, 1992 *"
Antiasthmatic,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiatherosclerotic,2,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibackache,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,16,"Revista Itiliana Eppos, 12: 5, 1994."
Antiberiberi,2,"Duke, 1992 *"
Antibronchitic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticancer,3,"Duke, 1992 *"
"Anticancer (Bladder)",1,"Duke, 1992 *"
"Anticancer (Breast)",2,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Pancreas)",1,"Duke, 1992 *"
"Anticancer (Prostate)",1,"Duke, 1992 *"
"Anticancer (Skin)",1,"Duke, 1992 *"
Anticanker,1,"Duke, 1992 *"
Anticarcinomic,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
"Anticarcinomic (Breast)",1,"Medline (post 1990 searches filed in my computer)"
Anticardiospasmic,2,"Duke, 1992 *"
Anticariogenic,5,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticatarrh,1,"Martindale's 29th"
Anticephalagic,1,"Duke, 1992 *"
Anticervicaldysplasic,2,"Duke, 1992 *"
