Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,1,"Duke, 1992 *"
12-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
5-HETE-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
8-HETE-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,6,"Duke, 1992 *"
ACE-Inhibitor,4,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,10,"Duke, 1992 *"
Allelochemic,5,"Duke, 1992 *"
Allelopathic,8,"Duke, 1992 *"
Allergenic,13,"Duke, 1992 *"
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,15,"Duke, 1992 *"
Androgenic,2,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anesthetic,7,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,2,"Martindale's 28th"
Anthelmintic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,6,"Duke, 1992 *"
Antiacne,8,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
Antiadenomacarcinogenic,1,"Duke, 1992 *"
Antiadenomic,2,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiadrenalinic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiaflatoxin,5,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,8,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiaging,5,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,5,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,7,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,17,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antiamblyopic,1,"Duke, 1992 *"
Antiamyloid-Beta,9,"Duke, 1992 *"
Antianaphylactic,2,"Meli, R., Autore, G., Di Carlo, G., Capasso, F. Inhibitory Action of Quercetin on Intestinal Transit in Mice. Phytotherapy Research 4(5): 201, 1990."
Antiandrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,6,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarachidonate,2,"Duke, 1992 *"
Antiarrhythmic,4,"Duke, 1992 *"
Antiarteriosclerotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarthritic,12,"Duke, 1992 *"
Antiasthmatic,11,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,8,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,23,"Revista Itiliana Eppos, 12: 5, 1994."
Antiberiberi,1,"Duke, 1992 *"
AntiBPH,1,"Duke, 1992 *"
