Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Acaricide,4,"Duke, 1992 *"
ACE-Inhibitor,3,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,6,"Duke, 1992 *"
Allelochemic,4,"Duke, 1992 *"
Allelopathic,2,"Duke, 1992 *"
Allergenic,15,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,6,"Kauderer, B., Zamith, H., Paumgartten, F.J.R., and Speit, G. Evaluation of the Mutagenicity of B-Myrcene in Mammalian Cells In Vitro. Environmental and Molecular Mutagenesis 18: 28-34, 1991."
Androgenic,1,"Duke, 1992 *"
Anesthetic,3,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,2,"Martindale's 28th"
Anthelmintic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholinesterase,4,"Duke, 1992 *"
Antiacne,7,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiadenomic,3,"Merck 11th Edition"
Antiaflatoxin,1,"Duke, 1992 *"
