Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Algistat,1,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
Allelochemic,3,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,4,"Duke, 1992 *"
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,3,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,1,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,1,"Duke, 1992 *"
Antiacne,2,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
Antiaflatoxin,1,"Duke, 1992 *"
Antiaggregant,2,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,2,"Duke, 1992 *"
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antianaphylactic,2,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,3,"Duke, 1992 *"
Antianemic,3,"Martindale's 29th"
Antianginal,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarrhythmic,4,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,7,"Duke, 1992 *"
Antiasthmatic,3,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiatherosclerotic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,7,"Duke, 1992 *"
AntiBPH,1,"Duke, 1992 *"
Anticancer,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
"Anticancer (Colon)",1,"Duke, 1992 *"
"Anticancer (Forestomach)",1,"Duke, 1992 *"
"Anticancer (Liver)",1,"Duke, 1992 *"
"Anticancer (Skin)",1,"Duke, 1992 *"
Anticanker,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarcinogenic,1,"Duke, 1992 *"
Anticarcinomic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
"Anticarcinomic (Breast)",1,"Medline (post 1990 searches filed in my computer)"
Anticariogenic,1,"Duke, 1992 *"
Anticataract,2,"Duke, 1992 *"
Anticephalagic,1,"Duke, 1992 *"
AntiCFS,1,"Duke, 1992 *"
Anticheilitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticlastogen,6,"Duke, 1992 *"
Anticlimacteric,2,"Duke, 1992 *"
Anticoeliac,1,"Martindale's 28th"
Anticold,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticolitic,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticomplementary,3,"Duke, 1992 *"
Anticonvulsant,1,"Facciola, S. 1998. Cornucopia - A Source Book of Edible Plants. Kampong Publications, Vista CA. 713 pp."
Anticoronary,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
AntiCrohn's,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticystitic,1,"Duke, 1992 *"
Antidandruff,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidementia,1,"Duke, 1992 *"
Antidepressant,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidermatitic,2,"Martindale's 29th"
Antidiabetic,6,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antidiscotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Aluminum)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Amanitin)",1,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 276."
"Antidote (Cadmium)",1,"Let's Live, May 1989."
"Antidote (Lead)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidysgeuzic,1,"Duke, 1992 *"
