Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Cooper-Driver, G. A., Chemical substances in plants toxic to animals,  pp. 213-47 in Rechcigl, M., Jr., ed. CRC Handbook of Naturally Occurring Food Toxicants, CRC Press, Boca Raton,  1983, 339 pp."
ACE-Inhibitor,3,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Adrenocorticotropic,1,"Duke, 1992 *"
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,10,"Duke, 1992 *"
Allelochemic,3,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,2,"Martindale's 29th"
Amphiestrogenic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Analgesic,5,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Anesthetic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,2,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,2,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
Antiacetylcholinesterase,1,"Duke, 1992 *"
Antiacne,1,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
AntiAddisonian,3,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiadrenergic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antiaflatoxin,3,"Duke, 1992 *"
Antiaggregant,6,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,7,"Duke, 1992 *"
Antialopecic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiamnesic,1,"Duke, 1992 *"
Antiamyloid-Beta,1,"Duke, 1992 *"
Antianaphylactic,4,"Duke, 1992 *"
Antiandrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiapoplectic,1,"Duke, 1992 *"
Antiarrhythmic,4,"Duke, 1992 *"
Antiarthritic,7,"Duke, 1992 *"
