Activity,"Chemical Count",Reference
Abortifacient,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Aldose-Reductase-Inhibitor,2,"Miyatake, K., et al. 1994. Effect of Conduritol A, a Polyol from Gymnema sylvestre, on the Development of Diabetic Cataracts in Streptozotocin-Treated Rats and on Aldose Reductase. Biosci Biotech Biochem, 58(4): 756-757."
Allergenic,2,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,3,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorexic,1,"Cooper-Driver, G. A., Chemical substances in plants toxic to animals,  pp. 213-47 in Rechcigl, M., Jr., ed. CRC Handbook of Naturally Occurring Food Toxicants, CRC Press, Boca Raton,  1983, 339 pp."
Antiacne,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,3,"Duke, 1992 *"
Antiaging,3,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,3,"Duke, 1992 *"
Antialopecic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,4,"Duke, 1992 *"
Antiamblyopic,1,"Duke, 1992 *"
Antianemic,2,"Martindale's 29th"
Antianginal,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,3,"Duke, 1992 *"
Antiarteriosclerotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarthritic,7,"Duke, 1992 *"
Antiasthmatic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherosclerotic,5,"Duke, 1992 *"
Antibacterial,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
AntiBPH,1,"Duke, 1992 *"
Anticancer,1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
Anticanker,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarcinomic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticariogenic,1,"Duke, 1992 *"
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,5,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticephalagic,2,"Duke, 1992 *"
Anticervicaldysplasic,3,"Duke, 1992 *"
AntiCFS,3,"Duke, 1992 *"
Anticheilitic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antichilblain,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antichoreic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticirrhotic,2,"Duke, 1992 *"
Anticlimacteric,4,"Duke, 1992 *"
Anticoeliac,1,"Martindale's 28th"
Anticold,2,"Duke, 1992 *"
Anticolitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticonvulsant,2,"Facciola, S. 1998. Cornucopia - A Source Book of Edible Plants. Kampong Publications, Vista CA. 713 pp."
Anticorneotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticoronary,4,"Duke, 1992 *"
AntiCrohn's,2,"Martindale's 29th"
AntiCTS,1,"Duke, 1992 *"
Anticystinuric,1,"Duke, 1992 *"
Antidandruff,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidecubitic,2,"Martindale's 28th"
Antidementia,4,"Duke, 1992 *"
Antidepressant,5,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antidermatitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidiabetic,8,"Duke, 1992 *"
