Activity,"Chemical Count",Reference
(+)-Inotropic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
5-Alpha-Reductase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,2,"Duke, 1992 *"
Allergenic,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacne,1,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiallergic,2,"Duke, 1992 *"
Antialopecic,2,"Duke, 1992 *"
Antianaphylactic,2,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,3,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiasthmatic,1,"Sabinsa: A series of well documented proprietary PR booklets,
e.g.Sabinsa Corps. 1998. Bronchial Asthma - Its etiology and control with traditional herbal extracts. Sabinsa Corporation. Piscataway, NJ. 49 pp."
Antibacterial,1,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Lung)",1,"Duke, 1992 *"
Anticholinesterase,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticoronary,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antieczemic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiedemic,1,"Duke, 1992 *"
Antiestrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifeedant,3,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
Antifertility,3,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifibrinolytic,1,"Economic & Medicinal Plant Research, 1: 53."
Antigastritic,1,"Martindale's 29th"
Antigonadotrophic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antigranular,1,"Duke, 1992 *"
Antihepatotoxic,1,"Duke, 1992 *"
Antihistaminic,3,"Economic & Medicinal Plant Research, 6: 189."
Antihomocystinuric,1,"Duke, 1992 *"
Antihyperlipoproteinaemic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiinflammatory,3,"Duke, 1992 *"
Antileukemic,2,"Duke, 1992 *"
Antileukotriene-D4,2,"Duke, 1992 *"
Antilymphomic,1,"Duke, 1992 *"
Antimenorrhagic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
AntiMS,1,"Economic & Medicinal Plant Research, 6: 189."
Antimutagenic,1,"Duke, 1992 *"
Antimyoatrophic,1,"Duke, 1992 *"
Antiophidic,1,"Economic & Medicinal Plant Research, 5: 363."
Antioxidant,1,"Duke, 1992 *"
Antiprogestational,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiprostaglandin,1,"Duke, 1992 *"
Antiprostatadenomic,1,"Merck 11th Edition"
Antiprostatitic,2,"Duke, 1992 *"
Antipyretic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antispasmodic,1,"=ICMR(Indian Council of Medical Research).1976.Medicinal Plants of India.Vol.1.Indian Council of Med. Res.Cambridge Printing Works, New Delhi.487 pp;ICMR.1987.Medicinal Plants of India.Vol.2.Indian Council of Med. Res.Cambr. Printing Works,New Delhi.600pp"
Antitumor,1,"Duke, 1992 *"
"Antitumor (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Antitumor (Cervix)",1,"Duke, 1992 *"
"Antitumor (Lung)",1,"Duke, 1992 *"
Antiviral,1,"Abid Ali Khan, M.M., Jain, D.C., Bhakuni, R.S., Zaim, M., and Thakur, R.S. 1991. Occurrence of some antiviral sterols in Artemisia annua. Plant Science, 75: 161-165, 1991."
Apoptotic,1,"Duke, 1992 *"
Artemicide,1,"Jung, J.H., Pummangura, S., Chaichantipyuth, c., Patarapanich, C., and McLaughlin, J.L. 1989. Bioactive Constituents of Melodorum fruticosum. Phytochemistry. 29(5): 1667-1670. 1990."
Bronchoconstrictor,1,"Sabinsa: A series of well documented proprietary PR booklets,
e.g.Sabinsa Corps. 1998. Bronchial Asthma - Its etiology and control with traditional herbal extracts. Sabinsa Corporation. Piscataway, NJ. 49 pp."
Bronchodilator,2,"Duke, 1992 *"
Bruchiphobe,1,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
Cancer-Preventive,3,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
Candidicide,1,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
Carcinogenic,1,"Science News, 146: 421."
Cardiodepressant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Cardioprotective,1,"Duke, 1992 *"
Caspase-8-Inducer,1,"Duke, 1992 *"
Choleretic,1,"Duke, 1992 *"
Comedolytic,1,"Duke, 1992 *"
Cosmetic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Dermatitigenic,1,"Duke, 1992 *"
Diuretic,1,"Wealth of India."
Emmenagogue,1,"Wealth of India."
Estrogenic,1,"Duke, 1992 *"
Ethanolytic,1,"Duke, 1992 *"
Expectorant,2,"Duke, 1992 *"
Febrifuge,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
FLavor,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Gonadotrophic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Hepatoprotective,3,"Duke, 1992 *"
Hypocholesterolemic,3,"Spiller, G. A. 1996 (Spiller, G. A. Ed. 1996. CRC Handbook of Lipids in Human Nutrition. CRC Press. Boca Raton, FL. 233 pp.)"
Hypoglycemic,2,"Ivorra, M.D., Paya, M., and Villar, A. 1989. A Review of Natural Products and Plants as Potential Antidiabetic Drugs. Journal of Ethnopharmacology, 27: 243-275, 1989."
Hypolipidemic,1,"Duke, 1992 *"
Hypotensive,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Immunomodulator,1,"Economic & Medicinal Plant Research, 6: 189."
Insectifuge,2,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
Irritant,1,"Merck 11th Edition"
Lipotropic,1,"Duke, 1992 *"
Metastatic,1,"Science News, 146: 421."
Mucogenic,1,"Duke, 1992 *"
Nematicide,1,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Oxytocic,1,"Duke, 1992 *"
Percutaneostimulant,1,"Seki, T., Toeda, C., Kawaguchi, T., Juni, K., Sugibayashi, K., and Morimoto, Y. 1990. Enhanced Transdermal Delivery of Zidovudine in Rats and Human Skin. Chem. Pharm. Bull. 38(11): 3086-3089, 1990."
Perfumery,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Pesticide,4,"Duke, 1992 *"
Propecic,2,"Duke, 1992 *"
Respirastimulant,1,"Sabinsa: A series of well documented proprietary PR booklets,
e.g.Sabinsa Corps. 1998. Bronchial Asthma - Its etiology and control with traditional herbal extracts. Sabinsa Corporation. Piscataway, NJ. 49 pp."
Spermicide,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Ubiquiot,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Ulcerogenic,1,"Duke, 1992 *"
