Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
Abortifacient,1,"Duke, 1992 *"
Acaricide,5,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Allelochemic,3,"Duke, 1992 *"
Allelopathic,4,"Duke, 1992 *"
Allergenic,11,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Anesthetic,5,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholinesterase,6,"Duke, 1992 *"
Antiacne,4,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiadenomic,3,"Merck 11th Edition"
Antiaggregant,2,"Phytotherapy Research, 4: 93."
Antialcoholic,2,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergenic,2,"Duke, 1992 *"
Antiallergic,5,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialzheimeran?,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,2,"Duke, 1992 *"
