Activity,"Chemical Count",Reference
(-)-Chronotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
ABeta-Inhibitor,1,"Duke, 1992 *"
Acaricide,3,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,8,"Duke, 1992 *"
Allelochemic,5,"Duke, 1992 *"
Allelopathic,3,"Duke, 1992 *"
Allergenic,10,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Anesthetic,5,"Duke, 1992 *"
Anthelmintic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,3,"Duke, 1992 *"
Antiacne,4,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiadenomic,1,"Duke, 1992 *"
Antiaflatoxin,1,"Duke, 1992 *"
Antiaggregant,2,"Duke, 1992 *"
Antiallergic,5,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialzheimeran,2,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
Antialzheimeran?,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,2,"Int. J. Immunopharmacology. Vol 10: 729, 1988."
Antiandrogenic,1,"Planta Medica, 56(6): 671, 1990."
Antiangiogenic,1,"Duke, 1992 *"
Antiarrhythmic,1,"Duke, 1992 *"
Antiarthritic,1,"Planta Medica, 57: A56, 1991."
Antiasthmatic,2,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,1,"Duke, 1992 *"
Antibacterial,22,"Revista Itiliana Eppos, 12: 5, 1994."
Antibronchitic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antibrucellosic,1,"Gawron, A., Gorski*, G., Glowniak**, K. 1989. Increased proliferation of phytohaemagglutinin (PHA)-stimulated human leucocytes after 8-methoxypsoralen treatment. J. Pharm. Pharmacol. 42: 194-195, 1990."
Anticancer,4,"Duke, 1992 *"
"Anticancer (Colon)",1,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
"Anticancer (Kidney)",1,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
"Anticancer (Pancreas)",1,"Duke, 1992 *"
"Anticancer (Prostate)",1,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
Anticarcinogenic,1,"Duke, 1992 *"
Anticarcinomic,2,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
Anticariogenic,7,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticataract,1,"Shin*, K.H., Chung, M.S., Chae, Y.J., Yoon, K.Y., Cho, T.S. 1992. A survey for aldose reductase inhibition of herbal medicines. Fitoterapia 64(2): 130, 1993."
Anticatarrh,1,"Martindale's 29th"
Anticholestatic,1,"Shukla, B., Visen, P.K.S., Patnaik, G.K., Tripathi, S.C., Srimal, R.C., Dayal, R., and Dobhal, P.C. Hepatoprotective Activity in the Rat of Ursolic Acid Isolated from Eucalyptus Hybrid. Phytotherapy Research 6: 74-79, 1992."
Anticholinesterase,1,"Duke, 1992 *"
Anticoagulant,1,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
Anticolic,1,"Duke, 1992 *"
Anticomplement,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
Anticomplementary,2,"Duke, 1992 *"
Anticonvulsant,2,"Duke, 1992 *"
Antidepressant,1,"Duke, 1992 *"
Antidermatic,1,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp."
Antidermatitic,1,"Duke, 1992 *"
Antidiabetic,1,"Chemical Constituents of Oriental Herbs (3 diff. books)"
Antidiarrheic,2,"Duke, 1992 *"
Antidiuretic,1,"Duke, 1992 *"
Antidysenteric,2,"Duke, 1992 *"
AntiEBV,2,"Duke, 1992 *"
Antiedemic,7,"Shimizu,*M., et al. 1990. Anti-inflammatory Constituents of Topically Applied Crude Drugs. IV.1) Constituents and Anti-inflammatory Effect of Paraguayan Crude Drug 'Alhucema' (Lavandula latifolia Vill.)2). Chem. Pharm. Bull. 38(8): 2283-2284, 1990."
Antiemetic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antiescherichic,2,"Duke, 1992 *"
Antiesherichic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiesophagitic,1,"Duke, 1992 *"
Antiestrogenic,1,"Duke, 1992 *"
Antifatigue,1,"Duke, 1992 *"
Antifeedant,8,"Duke, 1992 *"
Antifibrosarcomic,1,"Duke, 1992 *"
Antifibrositic,1,"Martindale's 28th"
Antiflu,2,"Economic & Medicinal Plant Research, 5: 195."
Antiglutamaergic,1,"Duke, 1992 *"
Antigonadotropic,1,"Duke, 1992 *"
Antihalitosic,1,"American Health, 12(4): 17, 1993."
Antihelicobacter,1,"Duke, 1992 *"
Antihemolytic,1,"Int. J. Immunopharmacology. Vol 10: 729, 1988."
Antihepatotoxic,3,"Duke, 1992 *"
Antiherpetic,2,"Duke, 1992 *"
Antihistaminic,4,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
AntiHIV,4,"Kashiwada, Y., et. al. 1998. Anti-AIDS Agents. 30. Anti-HIV Activity of Oleanolic Acid, Pomolic Acid, and Structurally Related Triterpenoids. J. Nat. Prod., 61 (9): 1090-1095."
Antihyperlipidemic,1,"Duke, 1992 *"
Antihypertensive,1,"Duke, 1992 *"
Antihyperthyroid,1,"Duke, 1992 *"
Antihysteric,1,"Martindale's 28th"
Antiinflammatory,15,"Shimizu,*M., et al. 1990. Anti-inflammatory Constituents of Topically Applied Crude Drugs. IV.1) Constituents and Anti-inflammatory Effect of Paraguayan Crude Drug 'Alhucema' (Lavandula latifolia Vill.)2). Chem. Pharm. Bull. 38(8): 2283-2284, 1990."
Antiinsomniac,1,"Duke, 1992 *"
Antiintegrase,1,"Duke, 1992 *"
Antilaryngitic,1,"Duke, 1992 *"
Antileishmanic,2,"Duke, 1992 *"
Antileukemic,3,"Duke, 1992 *"
Antileukotriene,1,"Duke, 1992 *"
Antilipolytic,1,"Duke, 1992 *"
Antilipoperoxidant,1,"Duke, 1992 *"
Antilithic,1,"Duke, 1992 *"
Antilithic?,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antilymphedemic,1,"Mills, Simon and Bone, Kerry. 2000. Phytotherapy. Churchill
Livinston, Edinburgh."
