Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Acaricide,2,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,7,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
Allelochemic,1,"Duke, 1992 *"
Allelopathic,1,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
Allergenic,10,"Martindale's 29th"
Analgesic,4,"Duke, 1992 *"
Anaphrodisiac,1,"Duke, 1992 *"
Anesthetic,3,"Martindale's 28th"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,1,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacne,5,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
Antiaggregant,2,"Phytotherapy Research, 4: 93."
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,2,"Duke, 1992 *"
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,1,"L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase."
Antianaphylactic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,1,"Duke, 1992 *"
Antianemic,3,"Martindale's 29th"
Antianginal,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarachidonate,1,"Duke, 1992 *"
Antiarrhythmic,3,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,6,"Duke, 1992 *"
Antiasthmatic,3,"Duke, 1992 *"
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,11,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
AntiBPH,1,"Duke, 1992 *"
Anticancer,2,"Duke, 1992 *"
"Anticancer (Colon)",1,"Duke, 1992 *"
"Anticancer (Forestomach)",1,"Duke, 1992 *"
"Anticancer (Liver)",1,"Duke, 1992 *"
"Anticancer (Pancreas)",1,"Duke, 1992 *"
"Anticancer (Skin)",1,"Duke, 1992 *"
Anticanker,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarcinogenic,2,"Duke, 1992 *"
