Activity,"Chemical Count",Reference
Abortifacient,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,2,"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,2,"Duke, 1992 *"
Analeptic,1,"Duke, 1992 *"
Analgesic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anesthetic,2,"Duke, 1992 *"
Antiacne,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiadrenergic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antiaflatoxin,1,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antialkali?,1,"Martindale's 29th"
Antialzheimeran,1,"Duke, 1992 *"
Antiarrhythmic,1,"Duke, 1992 *"
Antiarthritic,1,"Duke, 1992 *"
Antiasthmatic,3,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antibacterial,2,"Martindale's 28th"
Antibronchoconstrictor,1,"Duke, 1992 *"
Anticancer,1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
Anticarcinomic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticephalagic,1,"Duke, 1992 *"
Anticerebrotic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticervicaldysplasic,1,"Duke, 1992 *"
Anticholinergic,1,"Duke, 1992 *"
Antichoreic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticirrhotic,1,"Duke, 1992 *"
Anticonvulsant,1,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
Anticorneitic,1,"Duke, 1992 *"
Anticoronary,1,"Duke, 1992 *"
Anticystinuric,1,"Duke, 1992 *"
Antidementia,1,"Duke, 1992 *"
Antidiabetic,1,"Duke, 1992 *"
Antidiabetic?,1,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
