Activity,"Chemical Count",Reference
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Acaricide,6,"Duke, 1992 *"
ACE-Inhibitor,3,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Additive,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,12,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
Allelochemic,2,"Duke, 1992 *"
Allelopathic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Allergenic,14,"Duke, 1992 *"
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Androgenic,1,"Duke, 1992 *"
Anesthetic,5,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Ankylostomacide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anorexic,1,"Martindale's 28th"
Anthelmintic,2,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
