Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Acaricide,7,"Duke, 1992 *"
ACE-Inhibitor,3,"Duke, 1992 *"
AChE-Inhibitor,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,5,"Duke, 1992 *"
Allelochemic,2,"Duke, 1992 *"
Allelopathic,3,"Duke, 1992 *"
Allergenic,10,"Martindale's 29th"
Analgesic,9,"Duke, 1992 *"
Anesthetic,4,"Yamamoto, A., Umemori, S., and Muranishi, S. 1993. Absorption Enhancement of Intrapulmonary Administered Insulin by Various Absorption Enhancers and Protease Inhibitors in Rats. J. Pharm. Pharmacol. 46: 14-18, 1994."
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anthelmintic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anti-LDL,1,"Duke, 1992 *"
Antiacetylcholinesterase,20,"Duke, 1992 *"
Antiacne,3,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
Antiadenomic,1,"Duke, 1992 *"
Antiaggregant,5,"Duke, 1992 *"
