Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
5-HT-Inhibitor,1,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,3,"Duke, 1992 *"
Acaricide,8,"Duke, 1992 *"
ACE-Inhibitor,5,"Duke, 1992 *"
AChE-Inhibitor,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Addictive,1,"Science News, 145: 294."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Adjuvant,1,"Merck 11th Edition"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,18,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
Allelochemic,9,"Duke, 1992 *"
Allelopathic,6,"Duke, 1992 *"
Allergenic,26,"Martindale's 29th"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,15,"Duke, 1992 *"
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
