Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,3,"Duke, 1992 *"
Acaricide,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Acnegenic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Alcohol-Dehydrogenase-Inhibitor,1,"Martindale's 29th"
Aldose-Reductase-Inhibitor,4,"Duke, 1992 *"
Allergenic,5,"Mitchell, J. and Rook, A.J. 1923. Botanical Dermatology: plants and plant products injurious to the skin. Vancouver: Greengrass, 1979. xiii, 787 p.: ill."
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analeptic,2,"Duke, 1992 *"
Analgesic,6,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,1,"Martindale's 28th"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Antiacetylcholinesterase,2,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,3,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiadrenalinic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,3,"Duke, 1992 *"
Antiaging,2,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergic,4,"Duke, 1992 *"
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,2,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,3,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,7,"Duke, 1992 *"
Antiasthenic,1,"Martindale's 29th"
Antiasthmatic,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatheromic,1,"Cerda, J.J. Pectin in Health and Disease. HortScience, 25(12): 1485, 1990."
Antiatherosclerotic,5,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,12,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiberiberi,1,"Duke, 1992 *"
Anticancer,1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Bladder)",1,"Duke, 1992 *"
"Anticancer (Breast)",4,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",2,"Duke, 1992 *"
"Anticancer (Lung)",1,"Duke, 1992 *"
"Anticancer (Prostate)",1,"Duke, 1992 *"
Anticanker,2,"Duke, 1992 *"
Anticarcinomic,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticardiospasmic,1,"Duke, 1992 *"
Anticariogenic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticephalagic,4,"Duke, 1992 *"
Anticerebrotic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticervicaldysplasic,3,"Duke, 1992 *"
AntiCFS,2,"Duke, 1992 *"
Anticheilitic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antichilblain,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticholesteremic,1,"Merck 11th Edition"
Antichoreic,2,"Martindale's 29th"
Anticirrhotic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticlimacteric,3,"Duke, 1992 *"
Anticoagulant,1,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
Anticold,1,"Duke, 1992 *"
Anticolitic,1,"Duke, 1992 *"
Anticolitic?,1,"Duke, 1992 *"
Anticomplementary,1,"Duke, 1992 *"
Anticonvulsant,4,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
Anticoronary,3,"Duke, 1992 *"
AntiCrohn's,1,"Martindale's 29th"
AntiCTS,1,"Duke, 1992 *"
Antidecubitic,3,"Martindale's 28th"
Antideliriant,1,"Duke, 1992 *"
Antidementia,3,"Duke, 1992 *"
Antidepressant,7,"Martindale's 28th"
Antidepressant?,1,"Duke, 1992 *"
Antidermatitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidiabetic,9,"Grenand, P., Moretti, C., and Jacquemin, H. 1987. Pharmacopees Traditionnelles en Guyane.  l'ORSTROM, Paris. 569 pp."
Antidiabetic?,1,"Wichtl, M. 1984. Teedrogen. Ein Handbuch fur Apotheker und Arzte. Wissenschaftliche Verlagsgesellscharft. mbH Stuttgart. 393 pp."
Antidiarrheic,2,"Merck 11th Edition"
Antidiscotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Aluminum)",2,"Economic & Medicinal Plant Research, 6: 189."
"Antidote (Ammonia)",1,"Martindale's 29th"
"Antidote (Cadmium)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Hypoglycin-A)",1,"Martindale's 29th"
"Antidote (Lead)",2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Manganese)",1,"Martindale's 28th"
"Antidote (Paraquat)",1,"Martindale's 28th"
Antidyskinetic,1,"Martindale's 28th"
Antidysmenorrheic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antidyspeptic,1,"Duke, 1992 *"
Antidysphagic,1,"Duke, 1992 *"
Antieczemic,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiedemic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiencephalitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiencephalopathic,6,"Martindale's 29th"
Antiencephalopathic?,1,"Martindale's 29th"
Antiendometriotic,2,"Duke, 1992 *"
Antienteritic,1,"Duke, 1992 *"
Antienterotic,1,"Duke, 1992 *"
Antiepileptic,4,"Duke, 1992 *"
Antiestrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifatigue,6,"Duke, 1992 *"
Antifeedant,5,"Jacobson, M., Glossary of Plant-Derived Insect Deterrents, CRC Press, Inc., Boca Raton, FL, 213 p, 1990."
Antifertility,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifibrinolytic,2,"Economic & Medicinal Plant Research, 1: 53."
Antifibromyalgic,1,"Duke, 1992 *"
Antifibrotic,1,"Duke, 1992 *"
Antiflu,1,"Duke, 1992 *"
Antigallstone,2,"Duke, 1992 *"
Antigastritic,4,"Martindale's 29th"
Antigastrotic,1,"Duke, 1992 *"
Antigibberellin,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antigingivitic,1,"Duke, 1992 *"
