Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,3,"Duke, 1992 *"
5-HETE-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Acaricide,1,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Acnegenic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Adjuvant,1,"Merck 11th Edition"
Albuminurigenic,1,"Commission E. Blumenthal,M.,Hall,T. and Rister,R.S. eds.1997.The ABC's German Commission E Monographs - Therapeutic Monographs on Medicinal Plants for Human Use by Commission E - A Special Expert Committee of the German Federal Health Agency.ABC.Austin TX"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,4,"Duke, 1992 *"
Allelochemic,2,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,8,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiaflatoxin,2,"Duke, 1992 *"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,6,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiaging,5,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,2,"Duke, 1992 *"
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergic,5,"Duke, 1992 *"
Antialopecic,2,"Duke, 1992 *"
Antialzheimeran,7,"Duke, 1992 *"
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,1,"Meli, R., Autore, G., Di Carlo, G., Capasso, F. Inhibitory Action of Quercetin on Intestinal Transit in Mice. Phytotherapy Research 4(5): 201, 1990."
Antiandrogenic,3,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianxiety,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,3,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,9,"Duke, 1992 *"
Antiasthmatic,6,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,7,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,8,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiberiberi,1,"Duke, 1992 *"
Antibiotic,2,"Duke, 1992 *"
Antibronchitic,1,"Duke, 1992 *"
Anticancer,6,"Duke, 1992 *"
"Anticancer (Breast)",2,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Lung)",1,"Duke, 1992 *"
Anticanker,2,"Duke, 1992 *"
Anticarcinogenic,1,"Economic & Medicinal Plant Research, 6: 189."
