Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
5-HETE-Inhibitor,1,"Duke, 1992 *"
5-HT-Inhibitor,2,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,3,"Duke, 1992 *"
Abortifacient,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Acaricide,2,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,6,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidifier,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Acidulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Additive,2,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Akt-Inhibitor,1,"Duke, 1992 *"
Aldehyde-Oxidase-Inhibitor,2,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,14,"Duke, 1992 *"
Allelochemic,9,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,1,"Duke, 1992 *"
Allergenic,11,"Duke, 1992 *"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Anabolic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Analeptic,1,"Duke, 1992 *"
Analgesic,15,"Duke, 1992 *"
Anaphrodisiac,1,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,5,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,2,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,2,"Duke, 1992 *"
Antiacne,5,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiadrenergic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Antiaflatoxin,3,"Duke, 1992 *"
