Activity,"Chemical Count",Reference
(-)-Chronotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
5-Alpha-Reductase-Inhibitor,3,"Duke, 1992 *"
Abortifacient,2,"Duke, 1992 *"
Acaricide,6,"Duke, 1992 *"
ACE-Inhibitor,6,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Aldose-Reductase-Inhibitor,9,"Duke, 1992 *"
Allelochemic,6,"Duke, 1992 *"
Allelopathic,5,"Duke, 1992 *"
Allergenic,17,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,9,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,8,"Duke, 1992 *"
Anthelmintic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,9,"Duke, 1992 *"
Antiacne,8,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiadenomic,1,"Duke, 1992 *"
Antiadenovirus,1,"Economic & Medicinal Plant Research, 5: 194."
Antiaflatoxin,2,"Duke, 1992 *"
Antiaggregant,1,"Phytotherapy Research, 4: 93."
Antiallergenic,2,"Dorsch, W., Wagner, H. New Antiasthmatic Drugs from Traditional Medicine? Int Arch Allergy Appl Immunol 94: 262-265, 1991."
Antiallergic,3,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran?,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,4,"Duke, 1992 *"
Antiandrogenic,3,"Duke, 1992 *"
Antiangiogenic,1,"Duke, 1992 *"
Antiaphthic,1,"Martindale's 28th"
Antiarachidonate,1,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiasthmatic,4,"Watt, J.M., and Breyer-Brandwijk, M.G. The Medicinal and Poisonous Plants of Southern and Eastern Africa. 1962."
Antiatherosclerotic,3,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibacterial,33,"Revista Itiliana Eppos, 12: 5, 1994."
Antibronchitic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticalculic,1,"Duke, 1992 *"
Anticancer,4,"Duke, 1992 *"
"Anticancer (Breast)",1,"Duke, 1992 *"
"Anticancer (Cervix)",2,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
"Anticancer (Colon)",1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Esophagus)",1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Gastric)",1,"Duke, 1992 *"
"Anticancer (Mouth)",1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Pancreas)",1,"Duke, 1992 *"
Anticarcinomic,1,"Duke, 1992 *"
Anticariogenic,9,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticataract,1,"Shimizu, M., Horie, S., Terashima, S., Ueno, H., et al. 1989. Studies on Aldose Reductase Inhibitors from Natural Products.II. Active Components of a Paraguayan Crude Drug 'Para-parai mi,' Phyllanthus niruri. Chem. Pharm. Bull. 37(9): 2531-2532, 1989."
Anticatarrh,1,"Martindale's 29th"
Anticholinesterase,1,"Duke, 1992 *"
Anticholinesterase?,1,"L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase."
Anticoagulant,1,"Merck 11th Edition"
Anticolic,1,"Duke, 1992 *"
Anticonvulsant,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticoronary,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antidermatitic,1,"Duke, 1992 *"
Antidiarrheic,2,"Duke, 1992 *"
Antidiuretic,1,"Lawrence Review of Natural Products, Mar-92."
"Antidote (Strychnine)",1,"Duke, 1992 *"
Antidysenteric,2,"Duke, 1992 *"
AntiEBV,1,"Duke, 1992 *"
Antieczemic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiedemic,4,"Shimizu,*M., et al. 1990. Anti-inflammatory Constituents of Topically Applied Crude Drugs. IV.1) Constituents and Anti-inflammatory Effect of Paraguayan Crude Drug 'Alhucema' (Lavandula latifolia Vill.)2). Chem. Pharm. Bull. 38(8): 2283-2284, 1990."
Antiemetic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antiescherichic,2,"Duke, 1992 *"
Antiesophagitic,1,"Duke, 1992 *"
Antiestrogenic,1,"Duke, 1992 *"
Antifatigue,1,"Duke, 1992 *"
Antifeedant,13,"Duke, 1992 *"
Antifibrinolytic,3,"Economic & Medicinal Plant Research, 1: 53."
Antifibromyalgic,1,"Duke, 1992 *"
Antifibrositic,1,"Martindale's 28th"
Antiflu,5,"Economic & Medicinal Plant Research, 5: 195."
Antigastric,1,"Duke, 1992 *"
Antigenotoxic,2,"Duke, 1992 *"
Antigingivitic,2,"Duke, 1992 *"
Antigliomic,1,"Duke, 1992 *"
Antiglutamaergic,1,"Duke, 1992 *"
Antigonadotrophic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antigranular,1,"Duke, 1992 *"
AntiGTF,1,"Duke, 1992 *"
Antihalitosic,1,"American Health, 12(4): 17, 1993."
Antihelicobacter,2,"Duke, 1992 *"
Antihepatotoxic,2,"Okuda, T., Yoshida, T., and Hatano, T. Antioxidant Effects of Tannins and Related Polyphenols. Phenolic Compounds in Food and Their Effects on Health, Ch.7 p.93."
Antiherpetic,3,"Duke, 1992 *"
Antihistaminic,3,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
AntiHIV,4,"Tan, G.T., Pezzuto, J.M., Kinghorn,* A.D., Hughes, S.H. Evaluation Of Natural Products As Inhibitors Of Human Immunodeficiency Virus Type 1 (HIV-1) Reverse Transcriptase. Journal of Natural Products, 54(1): 143-154, 1991."
Antihypertensive,1,"Duke, 1992 *"
Antihyperthyroid,1,"Duke, 1992 *"
Antiinflammatory,18,"Shimizu,*M., et al. 1990. Anti-inflammatory Constituents of Topically Applied Crude Drugs. IV.1) Constituents and Anti-inflammatory Effect of Paraguayan Crude Drug 'Alhucema' (Lavandula latifolia Vill.)2). Chem. Pharm. Bull. 38(8): 2283-2284, 1990."
Antikeratotic,1,"Duke, 1992 *"
Antilaryngitic,1,"Duke, 1992 *"
Antileishmanic,3,"Duke, 1992 *"
Antileukemic,1,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
Antileukotriene-D4,2,"Duke, 1992 *"
Antilipolytic,1,"Duke, 1992 *"
Antilithic,1,"Duke, 1992 *"
Antilithic?,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
