"Chemical Name","Activity Count","Plant Part","Low Parts Per Million","High Parts Per Million","Standard Deviation",Reference
"1-(P-HYDROXYBENZYL)-6,7-DIHYDROXY-1,2,3,4-TETRAHYDROISOQU...",0,Plant,"not available","not available","not available","Duke, 1992 *"
2-HYDROXY-1-METHOXYAPORPHINE,0,Plant,"not available","not available","not available","Duke, 1992 *"
4'METHYL-N-METHYLCOCLAURINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
ALANINE,3,Rhizome,540.0,2585.0,1.00,"Duke, 1992 *"
ALANINE,3,Seed,2390.0,7242.0,-0.62,"Duke, 1992 *"
ANONAINE,10,Leaf,"not available","not available","not available","Duke, 1992 *"
ARGININE,14,Rhizome,880.0,4210.0,1.00,"Duke, 1992 *"
ARGININE,14,Seed,3380.0,10242.0,-0.61,"Duke, 1992 *"
ARSENIC,2,Seed,"not available",0.1,0.42,"Duke, 1992 *"
ASCORBIC-ACID,112,Rhizome,"not available",15.0,-0.76,"Duke, 1992 *"
ASCORBIC-ACID,112,Seed,"not available","not available","not available","Duke, 1992 *"
ASH,0,Rhizome,9700.0,68000.0,-0.75,"Duke, 1992 *"
ASH,0,Seed,9000.0,52000.0,0.12,"Duke, 1992 *"
ASPARAGINE,2,Rhizome,"not available",20000.0,1.41,"Duke, 1992 *"
ASPARTIC-ACID,3,Rhizome,3690.0,17655.0,1.00,"Duke, 1992 *"
ASPARTIC-ACID,3,Seed,5050.0,15303.0,-0.65,"Duke, 1992 *"
BETA-CAROTENE,53,Rhizome,"not available","not available","not available","Duke, 1992 *"
BETA-CAROTENE,53,Seed,0.1,0.2,-0.42,"Duke, 1992 *"
CALCIUM,28,Fruit,1360.0,1511.0,-0.54,"Duke, 1992 *"
CALCIUM,28,Rhizome,450.0,3704.0,-0.70,"Duke, 1992 *"
CALCIUM,28,Seed,590.0,13333.0,1.69,"Duke, 1992 *"
CARBOHYDRATES,0,Fruit,666000.0,740000.0,-0.23,"Duke, 1992 *"
CARBOHYDRATES,0,Rhizome,120000.0,824880.0,0.69,"Duke, 1992 *"
CARBOHYDRATES,0,Seed,139000.0,762000.0,0.95,"Duke, 1992 *"
CERYL-ALCOHOL,0,Leaf,"not available","not available","not available","Duke, 1992 *"
CETYL-ALCOHOL,0,Leaf,"not available","not available","not available","Duke, 1992 *"
COPPER,12,Seed,"not available",17.0,0.20,"Duke, 1992 *"
CYSTINE,2,Rhizome,220.0,1055.0,1.00,"Duke, 1992 *"
CYSTINE,2,Seed,540.0,1636.0,-1.05,"Duke, 1992 *"
D-CATECHIN,4,Root,"not available","not available","not available","Duke, 1992 *"
D-GALLOCATECHIN,0,Root,"not available","not available","not available","Duke, 1992 *"
D-PRONUCIFERINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
DEHYDROANONAINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
DEHYDRONUCIFERINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
DEHYDROROEMERINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
DEMETHYLCOCLAURINE,0,Seed,"not available","not available","not available","Duke, 1992 *"
DL-ARMEPAVINE,0,Leaf,"not available","not available","not available","Duke, 1992 *"
DL-N-NORARMEPAVINE,0,Stem,"not available","not available","not available","Duke, 1992 *"
ERUCIC-ACID,2,Seed,310.0,939.0,-0.81,"Duke, 1992 *"
FAT,0,Fruit,24000.0,26667.0,-0.44,"Duke, 1992 *"
FAT,0,Rhizome,1000.0,6790.0,-0.86,"Duke, 1992 *"
FAT,0,Seed,2000.0,27000.0,-1.26,"Duke, 1992 *"
FIBER,15,Fruit,26000.0,28889.0,-1.06,"Duke, 1992 *"
FIBER,15,Rhizome,8000.0,49383.0,-1.42,"Duke, 1992 *"
FIBER,15,Seed,10700.0,131000.0,-0.03,"Duke, 1992 *"
GADOLEIC-ACID,0,Rhizome,20.0,95.0,-1.00,"Duke, 1992 *"
GADOLEIC-ACID,0,Seed,120.0,364.0,-0.68,"Duke, 1992 *"
GLUCOLUTEOLIN,0,Leaf,"not available","not available","not available","Duke, 1992 *"
GLUTAMIC-ACID,8,Rhizome,1390.0,6650.0,-1.00,"Duke, 1992 *"
GLUTAMIC-ACID,8,Seed,9570.0,29000.0,-0.54,"Duke, 1992 *"
GLUTATHIONE,7,Seed,"not available","not available","not available","Duke, 1992 *"
GLYCINE,12,Rhizome,1560.0,7464.0,1.00,"Duke, 1992 *"
GLYCINE,12,Seed,2210.0,6697.0,-0.62,"Duke, 1992 *"
