Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,2,"Duke, 1992 *"
Acaricide,4,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,5,"Shin*, K.H., Chung, M.S., Chae, Y.J., Yoon, K.Y., Cho, T.S. 1992. A survey for aldose reductase inhibition of herbal medicines. Fitoterapia 64(2): 130, 1993."
Allelochemic,4,"Duke, 1992 *"
Allelopathic,4,"Duke, 1992 *"
Allergenic,10,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,6,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,6,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,3,"Duke, 1992 *"
Antiacne,5,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
AntiADD,1,"Duke, 1992 *"
Antiadenomic,2,"Merck 11th Edition"
Antiaflatoxin,2,"Duke, 1992 *"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,6,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
Antiaging,3,"Duke, 1992 *"
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,9,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,3,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
Antialzheimeran?,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,3,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiangiogenic,3,"Duke, 1992 *"
Antianxiety,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarachidonate,1,"Duke, 1992 *"
Antiarrhythmic,4,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,5,"Duke, 1992 *"
Antiasthmatic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,5,"Duke, 1992 *"
Antibacterial,24,"Revista Itiliana Eppos, 12: 5, 1994."
Antibronchitic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticancer,6,"Duke, 1992 *"
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",2,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
"Anticancer (Colon)",1,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
"Anticancer (Lung)",2,"Duke, 1992 *"
"Anticancer (Prostate)",1,"Duke, 1992 *"
Anticarcinogenic,1,"Duke, 1992 *"
Anticarcinomic,5,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticariogenic,4,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
Anticataract,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticatarrh,1,"Martindale's 29th"
