Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
Abortifacient,1,"Duke, 1992 *"
Acaricide,4,"Duke, 1992 *"
ACE-Inhibitor,4,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Aldose-Reductase-Inhibitor,4,"Okamura, K., Iwakami, S., Matsunaga, T. 1992. Biological Activity of Monoterpenes from Trees. Toyama-Ken Yakuji Kenkyusho Nenpo, (20): 95-101."
Allelochemic,4,"Duke, 1992 *"
Allelopathic,2,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
Allergenic,7,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Analgesic,4,"Kauderer, B., Zamith, H., Paumgartten, F.J.R., and Speit, G. Evaluation of the Mutagenicity of B-Myrcene in Mammalian Cells In Vitro. Environmental and Molecular Mutagenesis 18: 28-34, 1991."
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anesthetic,2,"Duke, 1992 *"
Ankylostomacide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anthelmintic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,5,"Duke, 1992 *"
Antiacne,3,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiadenomic,1,"Duke, 1992 *"
Antiaggregant,1,"Tramil, 42: 511."
Antialzheimeran?,3,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antiarthritic,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Antiasthmatic,2,"Duke, 1992 *"
Antiatherosclerotic,2,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibacterial,12,"Revista Itiliana Eppos, 12: 5, 1994."
Antibronchitic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticancer,2,"Duke, 1992 *"
Anticariogenic,2,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticholinesterase,1,"L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase."
Anticholinesterase?,1,"L. Gracza (1985) as cited by Buchbauer re antiacetylcholinesterase."
Anticonvulsant,1,"Duke, 1992 *"
Antidiuretic,1,"Lawrence Review of Natural Products, Mar-92."
Antiescherichic,1,"Duke, 1992 *"
Antiesophagitic,1,"Duke, 1992 *"
Antifeedant,6,"Duke, 1992 *"
Antiflu,3,"Economic & Medicinal Plant Research, 5: 195."
Antihalitosic,1,"American Health, 12(4): 17, 1993."
Antiherpetic,1,"Martindale's 28th"
Antiinflammatory,8,"Duke, 1992 *"
Antilepric,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Antilithic,1,"Duke, 1992 *"
Antilithic?,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antilymphomic,1,"Duke, 1992 *"
Antimelanomic,2,"Duke, 1992 *"
"Antimetastatic (Stomach)",1,"Duke, 1992 *"
Antimutagenic,2,"Economic & Medicinal Plant Research, 6: 235."
Antineuritic,1,"Duke, 1992 *"
Antinitrosaminic,3,"Duke, 1992 *"
Antinociceptive,1,"Rao, V.S.N., Menezes, A.M.S., Viana, G.S.B. 1990. Effect of myrcene on nociception in mice. J. Pharm. Pharmacol. 42: 877-878, 1990."
Antiobesity,1,"Duke, 1992 *"
Antiotitic,1,"Duke, 1992 *"
Antioxidant,7,"Jim Duke's personal files."
"Antioxidant (LDL)",2,"Duke, 1992 *"
Antiperiodontic,1,"Duke, 1992 *"
Antiplaque,2,"Osawa, K., Matsumoto, T., Maruyama, T., Takiguchi, T., Okuda, K., and Takazoe, I., Studies of the antibacterial activity of plant extracts and their constituents against periodontopathic bacteria, Bull Tokyo Dent. Coll., 31 (1), 1990, 17-21"
Antipneumonic,1,"Duke, 1992 *"
Antiproliferant,1,"Duke, 1992 *"
Antiproliferative,1,"Duke, 1992 *"
Antiprostaglandin,1,"Duke, 1992 *"
Antipyretic,1,"Duke, 1992 *"
