Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Adaptogenic,1,"Williamson, E. M. and Evans, F. J., Potter's New Cyclopaedia of Botanical Drugs and Preparations, Revised Ed., Saffron Walden, the C. W. Daniel Co., Ltd., Essex UK, 362 pp, 1988, reprint 1989."
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,2,"Duke, 1992 *"
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Analgesic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Androgenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Antiadenomic,1,"Merck 11th Edition"
Antiaflatoxin,1,"Duke, 1992 *"
Antiaggregant,4,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiallergic,1,"Jim Duke's personal files."
Antialzheimeran,1,"Duke, 1992 *"
Antiamnesic,1,"Duke, J. A. Writeups or information summaries on approximately 2,000 economic plants, USDA, ARS, Beltsville, MD 20705."
Antianaphylactic,1,"Meli, R., Autore, G., Di Carlo, G., Capasso, F. Inhibitory Action of Quercetin on Intestinal Transit in Mice. Phytotherapy Research 4(5): 201, 1990."
Antiandrogenic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiangiogenic,1,"Duke, 1992 *"
Antiarthritic,1,"Duke, 1992 *"
Antiasthmatic,1,"Duke, 1992 *"
Antiatherosclerotic,1,"Duke, 1992 *"
Antibacterial,2,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 155."
Anticancer,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
