Activity,"Chemical Count",Reference
Amebicide,1,"Duke, 1992 *"
Antifatigue,1,"Duke, 1992 *"
Antigliomic,1,"Duke, 1992 *"
Antiinflammatory,1,"Duke, 1992 *"
Antistress,1,"Duke, 1992 *"
Antitumor,1,"Duke, 1992 *"
Estrogenic,1,"Duke, 1992 *"
Hemolytic,1,"Duke, 1992 *"
Hepatoprotective,1,"Duke, 1992 *"
Hypocholesterolemic,1,"Duke, 1992 *"
Mastogenic,1,"Duke, 1992 *"
Myocardiodepressant,1,"Duke, 1992 *"
Pesticide,1,"Duke, 1992 *"
Piscicide,1,"Duke, 1992 *"
Respiradepressant,1,"Duke, 1992 *"
Vasoconstrictor,1,"Duke, 1992 *"
Vasodilator,1,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
