Activity,"Chemical Count",Reference
(+)-Inotropic,1,"Neuwinger, H. D. 1996. African Ethnobotany - Poisons and Drugs. Chapman & Hall, New York. 941 pp."
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anthelmintic,3,"UNESCO. 1960. Medicinal Plants of the Arid Zones. eds.(botany) I.C. Chopra, B.K. Abrol and K.L. Hands; eds (pharmacology), R. Paris and G. Dillemann  UNESCO, Place de Fontenoy, Paris 7E. 96 pp."
Antiallergic,2,"Duke, 1992 *"
Antianaphylactic,1,"Wealth of India."
Antianemic,1,"Duke, 1992 *"
Antianxiety,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarrhythmic,1,"Duke, 1992 *"
Antiarthritic,2,"Duke, 1992 *"
Antiasthmatic,1,"Sabinsa: A series of well documented proprietary PR booklets,
e.g.Sabinsa Corps. 1998. Bronchial Asthma - Its etiology and control with traditional herbal extracts. Sabinsa Corporation. Piscataway, NJ. 49 pp."
Antiatherosclerotic,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,2,"Recio, M. C., Rios, J. L., and Villar, A., A review of some antimicrobial compounds isolated from medicinal plants reported in the literature 1978-1988, Phytotherapy Research, 3(4), 1989, 117-125."
Anticlimacteric,1,"Duke, 1992 *"
Antidepressant,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidiabetic,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
"Antidote (Aluminum)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
"Antidote (Lead)",1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antifatigue,1,"Duke, 1992 *"
Antifeedant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antifertility,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiganglionic,1,"Borchard, R. E., Barnes, C. D., and Eltherton, L. G. 1991. Drug Dosage in Laboratory Animals: A Handbook. (3rd Ed.) The Telford Press, Inc., P. O. Box 287, Caldwell NJ 07006."
Antihistaminic,1,"Sabinsa: A series of well documented proprietary PR booklets,
e.g.Sabinsa Corps. 1998. Bronchial Asthma - Its etiology and control with traditional herbal extracts. Sabinsa Corporation. Piscataway, NJ. 49 pp."
Antihyperkinetic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
