Activity,"Chemical Count",Reference
Acetylcholinergic,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,1,"Duke, 1992 *"
Allelopathic,1,"Duke, 1992 *"
Allergenic,1,"Duke, 1992 *"
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Anthelmintic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiallergenic,1,"Dorsch, W., Wagner, H. New Antiasthmatic Drugs from Traditional Medicine? Int Arch Allergy Appl Immunol 94: 262-265, 1991."
Antiarrhythmic,1,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 407."
Antiarthritic,1,"Duke, 1992 *"
Antiasthmatic,3,"Duke, 1992 *"
Antiatherosclerotic,1,"Duke, 1992 *"
Antibacterial,2,"Lamikanra, A., Ogundaini, A.O., and Ogungbamila*, F.O. Antibacterial Constituents of Alchornea cordifolia Leaves. Phytotherapy Research 4(5): 198."
Antibronchitic,1,"Duke, 1992 *"
Anticancer,1,"Duke, 1992 *"
Anticlastogen,1,"Duke, 1992 *"
Anticolitic,1,"Duke, 1992 *"
Antiedemic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antifatigue,1,"Duke, 1992 *"
Antigibberellin,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antihepatotoxic,3,"Duke, 1992 *"
Antiherpetic,1,"Duke, 1992 *"
Antiinflammatory,4,"Duke, 1992 *"
Antiischemic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiketotic,1,"Merck 11th Edition"
AntiLegionella,1,"Duke, 1992 *"
Antileukemic,2,"Duke, 1992 *"
Antimelanogenic,1,"Duke, 1992 *"
Antimutagenic,1,"Duke, 1992 *"
Antiophidic,1,"Economic & Medicinal Plant Research, 5: 363."
Antioxidant,3,"Duke, 1992 *"
Antiperoxidant,2,"Planta Medica, 57: A54, 1991."
Antiradicular,2,"Duke, 1992 *"
Antirheumatic,1,"Duke, 1992 *"
Antiseptic,2,"Duke, 1992 *"
Antisickling,1,"Planta Medica, 56(6): 681, 1990."
Antispasmodic,1,"Ortiz de Urbina, J.J., Martin, M.L., Sevilla, M.A., Montero, M.J., Carron, R., and San Roman, L. Antispasmodic Activity on Rat Smooth Muscle of Polyphenol Compounds Caffeic and Protocathechic Acids. Phytotherapy Research 4(2): 73, 1990."
Antitumor,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
"Antitumor (Colon)",1,"Duke, 1992 *"
"Antitumor (Mouth)",1,"Duke, 1992 *"
"Antitumor (Skin)",1,"Duke, 1992 *"
Antitumor-Promoter,1,"Duke, 1992 *"
Antitussive,1,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 200."
Antivaricose,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiviral,1,"Duke, 1992 *"
Apoptotic,1,"Duke, 1992 *"
Ascaricide,1,"Duke, 1992 *"
Cancer-Preventive,2,"Stitt, P. A. Why George Should Eat Broccoli. Dougherty Co, Milwaukee, WI, 1990, 399 pp."
Carcinogenic,1,"Duke, 1992 *"
Cardiac,1,"CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses"
Cardioprotective,1,"Duke, 1992 *"
Cartilage-Sparing,1,"Duke, 1992 *"
Cathartic,1,"Wagner & Wolff, eds. 1977. New Natural Products (RS164. I56. 176)"
Chemopreventive,1,"Duke, 1992 *"
Choleretic,4,"Duke, 1992 *"
Cytotoxic,1,"Duke, 1992 *"
Diuretic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Fungicide,2,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Glutathione-Depleting,1,"Duke, 1992 *"
Hepatoprotective,2,"Advance in Chinese Medicinal Materials Research. 1985. Eds. H. M. Chang, H. W. Yeung, W. -W. Tso and A. Koo. World Scientific Publishing Co., Philadelphia Pa., page 207."
Hepatotoxic,3,"Fitoterapia No.5-1986."
Hyperglycemic,1,"Merck 11th Edition"
Immunostimulant,1,"Economic & Medicinal Plant Research, 1: 124."
Immunosuppressant,1,"Duke, 1992 *"
Insectifuge,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Insectiphile,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Laxative,2,"=ICMR(Indian Council of Medical Research).1976.Medicinal Plants of India.Vol.1.Indian Council of Med. Res.Cambridge Printing Works, New Delhi.487 pp;ICMR.1987.Medicinal Plants of India.Vol.2.Indian Council of Med. Res.Cambr. Printing Works,New Delhi.600pp"
Memory-Enhancer,1,"Science News, 138: 189, 1990."
Nephrotoxic,1,"Duke, 1992 *"
Pesticide,2,"Duke, 1992 *"
Phagocytotic,1,"Economic & Medicinal Plant Research, 1: 124."
Prostaglandigenic,1,"Duke, 1992 *"
Purgative,1,"Duke, 1992 *"
Secretogogue,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Tyrosinase-Inhibitor,1,"Duke, 1992 *"
Ubiquiot,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
