Activity,"Chemical Count",Reference
(-)-Chronotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
Abortifacient,1,"Duke, 1992 *"
ACTH-genic,1,"Duke, 1992 *"
Adenylate-Cyclase-Activator,1,"Merck 11th Edition"
Adrenergic,1,"Duke, 1992 *"
Allelochemic,1,"Duke, 1992 *"
Amebicide,1,"Recently became Internat. J. Crude Drug Res. 28(1,2,3,4):1990, page 1."
Analgesic,1,"Duke, 1992 *"
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiaggregant,1,"Duke, 1992 *"
Antiasthmatic,1,"Duke, 1992 *"
Antibacterial,2,"Duke, 1992 *"
Antibronchitic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiescherichic,1,"Duke, 1992 *"
Antifeedant,1,"Duke, 1992 *"
Antiglaucomic,1,"Martindale's 29th"
Antihistaminic,1,"Duke, 1992 *"
Antiinflammatory,2,"Duke, 1992 *"
Antimetastatic,1,"Duke, 1992 *"
Antimitotic,1,"Duke, 1992 *"
Antiotitic,1,"Duke, 1992 *"
Antiplatelet,1,"Duke, 1992 *"
Antipsoriac,1,"Duke, 1992 *"
Antipyretic,1,"Duke, 1992 *"
Antirhinoviral,1,"Denyer, C.V., Jackson, P., Loakes, D.M., Ellis, M.R., and Yound, D.A.B. Isolation of Antirhinoviral Sesquiterpenes From Ginger (Zingiber officinale). Journal of Natural Products, 57(5): 658-662, 1994."
Antisalmonella,1,"Duke, 1992 *"
