Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,6,"Duke, 1992 *"
5-HETE-Inhibitor,2,"Duke, 1992 *"
Acaricide,1,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adjuvant,1,"Merck 11th Edition"
Adrenergic,1,"Duke, 1992 *"
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldose-Reductase-Inhibitor,2,"Ichikawa, K., et al. 1991. Isolation and Structure Determination of Aldose Reductase Inhibitors from Traditional Thai Medicine, and Syntheses of Their Derivatives. Sankyo Kenkyusho Nempo, 43: 99-110."
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,1,"Holappa, L.D., and Blum*, U. 1991. Effects of Exogenously Applied Ferulic Acid, a Potential Allelopathic Compound, on Leaf Growth, Water Utilization, and Endogenous Abscisic Acid Levels of Tomato, Cucumber, and Bean. J. of Chemical Ecology, 17(5): 865."
Allergenic,7,"Duke, 1992 *"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,7,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,6,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
Antiaging,4,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,5,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergic,5,"Duke, 1992 *"
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,6,"Duke, 1992 *"
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,4,"Duke, 1992 *"
Antianginal,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiaphthic,1,"Martindale's 28th"
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,4,"Duke, 1992 *"
Antiarteriosclerotic,3,"Duke, 1992 *"
Antiarthritic,12,"Duke, 1992 *"
Antiasthmatic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherogenic,1,"Duke, 1992 *"
Antiatherosclerotic,6,"Duke, 1992 *"
Antiatherotic,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,10,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiberiberi,1,"Duke, 1992 *"
AntiBPH,1,"Duke, 1992 *"
Antibronchitic,1,"Duke, 1992 *"
Anticalculic,1,"Duke, 1992 *"
Anticancer,4,"Duke, 1992 *"
"Anticancer (Breast)",3,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Colon)",2,"Duke, 1992 *"
"Anticancer (Forestomach)",1,"Duke, 1992 *"
"Anticancer (Liver)",2,"Duke, 1992 *"
"Anticancer (Lung)",1,"Duke, 1992 *"
"Anticancer (Skin)",1,"Duke, 1992 *"
Anticanker,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarcinogenic,2,"Economic & Medicinal Plant Research, 6: 189."
Anticarcinomic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticardiospasmic,1,"Duke, 1992 *"
Anticariogenic,2,"Duke, 1992 *"
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,7,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticephalagic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticervicaldysplasic,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
AntiCFS,2,"Duke, 1992 *"
