Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,6,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Abortifacient,3,"Duke, 1992 *"
Absorbent,1,"Martindale's 29th"
Acaricide,4,"Duke, 1992 *"
Acarifuge,1,"Duke, 1992 *"
ACE-Inhibitor,9,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Addictive,1,"Science News, 145: 294."
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,11,"Duke, 1992 *"
Allelochemic,4,"Duke, 1992 *"
Allelopathic,2,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
Allergenic,19,"Martindale's 29th"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,16,"Martindale's 28th"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,2,"Duke, 1992 *"
Anesthetic,5,"Yamamoto, A., Umemori, S., and Muranishi, S. 1993. Absorption Enhancement of Intrapulmonary Administered Insulin by Various Absorption Enhancers and Protease Inhibitors in Rats. J. Pharm. Pharmacol. 46: 14-18, 1994."
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anhydrotic,1,"Martindale's 29th"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacetylcholinesterase,3,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,9,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Martindale's 29th"
Antiadenomic,2,"Merck 11th Edition"
Antiadenovirus,1,"Economic & Medicinal Plant Research, 5: 194."
Antiadhesive,1,"Duke, 1992 *"
Antiaflatoxin,2,"Duke, 1992 *"
