Activity,"Chemical Count",Reference
ACE-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,4,"Kasimu, R., Basnet, P., Tezuka, Y., Kadota, S., Namba, T. 1997. Danshenols A and B, New Aldose Reductase Inhibitors from the Root of Salvia miltiorhiza BUNGE. Chem Pharm Bull, 45(3): 564-566."
Analgesic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,1,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiacne,2,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
Antiaggregant,4,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergic,1,"Duke, 1992 *"
Antialopecic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antianemic,3,"Martindale's 29th"
Antianginal,3,"Shimomura,* K., Kitazawa, T., Okamura, N., and Yagi, A. Tanshinone Production In Adventitious Roots And Regenerates Of Salvia miltiorrhiza. Journal of Natural Products, 54(6): 1583-1587, 1991."
Antiangiogenic,1,"Duke, 1992 *"
Antianorectic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarrhythmic,3,"Duke, 1992 *"
Antiarthritic,5,"Duke, 1992 *"
Antiasthmatic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiatherosclerotic,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,2,"Duke, 1992 *"
AntiBPH,1,"Duke, 1992 *"
Antiburn,1,"Duke, 1992 *"
Anticanker,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarbuncular,1,"Duke, 1992 *"
Anticataract,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticephalagic,1,"Duke, 1992 *"
AntiCFS,1,"Duke, 1992 *"
Anticheilitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticlimacteric,2,"Duke, 1992 *"
Anticoagulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticoeliac,1,"Martindale's 28th"
Anticold,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticolitic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Anticonvulsant,1,"Facciola, S. 1998. Cornucopia - A Source Book of Edible Plants. Kampong Publications, Vista CA. 713 pp."
Anticoronary,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
AntiCrohn's,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidandruff,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidementia,1,"Duke, 1992 *"
Antidepressant,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antidiabetic,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antidiscotic,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
