Activity,"Chemical Count",Reference
(-)-Chronotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,5,"Duke, 1992 *"
Acaricide,8,"Duke, 1992 *"
ACE-Inhibitor,7,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,22,"Duke, 1992 *"
Allelochemic,6,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,8,"Duke, 1992 *"
Allergenic,18,"Martindale's 29th"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,21,"Martindale's 28th"
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Androgenic,2,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,7,"Yamamoto, A., Umemori, S., and Muranishi, S. 1993. Absorption Enhancement of Intrapulmonary Administered Insulin by Various Absorption Enhancers and Protease Inhibitors in Rats. J. Pharm. Pharmacol. 46: 14-18, 1994."
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Ankylostomacide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anorexic,2,"Martindale's 28th"
Anthelmintic,7,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,9,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,13,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Duke, 1992 *"
Antiadenomic,3,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiadenovirus,1,"Economic & Medicinal Plant Research, 5: 194."
Antiaflatoxin,2,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,11,"Duke, 1992 *"
Antiaging,5,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,6,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiallergenic,3,"Dorsch, W., Wagner, H. New Antiasthmatic Drugs from Traditional Medicine? Int Arch Allergy Appl Immunol 94: 262-265, 1991."
Antiallergic,14,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,7,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,6,"Duke, 1992 *"
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,5,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,7,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,14,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiasthmatic,10,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherogenic,2,"Duke, 1992 *"
Antiatheromic,1,"Cerda, J.J. Pectin in Health and Disease. HortScience, 25(12): 1485, 1990."
Antiatherosclerotic,10,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibacillus,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,47,"Revista Itiliana Eppos, 12: 5, 1994."
Antiberiberi,1,"Duke, 1992 *"
Antibiotic,1,"Encarnacion Dimayuga, R., Keer Garcia, S., Halfdan Nielsen, P.,  and Christophersen, C. 1989. Traditional Medicine of Baja California Sur (Mexico) III. Carnosol: A Diterpene Antibiotic from Lepechinia hastata. J. Ethnopharmacology, 31: 43-48, 1991."
AntiBPH,1,"Duke, 1992 *"
Antibronchitic,5,"Martindale's 28th"
Anticancer,10,"Duke, 1992 *"
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",2,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Colon)",4,"Duke, 1992 *"
"Anticancer (Esophagus)",1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Forestomach)",2,"Duke, 1992 *"
"Anticancer (Liver)",2,"Duke, 1992 *"
"Anticancer (Lung)",2,"Duke, 1992 *"
"Anticancer (Mouth)",1,"Joseph, J., Nadeau, D. and Underwood, A. 2001. The Color Code. Hyperion, NY."
"Anticancer (Pancreas)",2,"Duke, 1992 *"
"Anticancer (Skin)",2,"Duke, 1992 *"
Anticanker,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticarcinogenic,4,"Economic & Medicinal Plant Research, 6: 189."
Anticarcinomic,6,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
"Anticarcinomic (Colon)",1,"Duke, 1992 *"
"Anticarcinomic (Lung)",1,"Duke, 1992 *"
Anticardiospasmic,1,"Duke, 1992 *"
Anticariogenic,12,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,9,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticatarrh,1,"Martindale's 29th"
Anticephalagic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
