Activity,"Chemical Count",Reference
(-)-Chronotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,3,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,5,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,4,"Duke, 1992 *"
Acaricide,7,"Duke, 1992 *"
ACE-Inhibitor,5,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Adjuvant,1,"Merck 11th Edition"
Aldose-Reductase-Inhibitor,17,"Duke, 1992 *"
Allelochemic,6,"Duke, 1992 *"
Allelopathic,5,"Duke, 1992 *"
Allergenic,23,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,21,"Duke, 1992 *"
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Androgenic,2,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,2,"Duke, 1992 *"
Anesthetic,12,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anhydrotic,1,"Martindale's 29th"
Ankylostomacide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anorexic,1,"Martindale's 28th"
Anthelmintic,7,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anti-LDL,1,"Duke, 1992 *"
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,12,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,11,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,2,"Martindale's 29th"
Antiadenomic,2,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiaflatoxin,2,"Duke, 1992 *"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,11,"Duke, 1992 *"
Antiaging,4,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,4,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
Antiallergenic,1,"Yakugaku Zasshi, 111: 193, 1991."
Antiallergic,11,"J. Food Hyg. Soc. Jap. 33(6): 569."
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,8,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,4,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,3,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,4,"Duke, 1992 *"
Antiangiotensic,1,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarachidonate,1,"Duke, 1992 *"
Antiarrhythmic,6,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,12,"Duke, 1992 *"
Antiasthmatic,9,"Duke, 1992 *"
Antiatherogenic,2,"Duke, 1992 *"
Antiatheromic,1,"Cerda, J.J. Pectin in Health and Disease. HortScience, 25(12): 1485, 1990."
Antiatherosclerotic,10,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,46,"Revista Itiliana Eppos, 12: 5, 1994."
Antiberiberi,1,"Duke, 1992 *"
Antibiotic,1,"Encarnacion Dimayuga, R., Keer Garcia, S., Halfdan Nielsen, P.,  and Christophersen, C. 1989. Traditional Medicine of Baja California Sur (Mexico) III. Carnosol: A Diterpene Antibiotic from Lepechinia hastata. J. Ethnopharmacology, 31: 43-48, 1991."
AntiBPH,1,"Duke, 1992 *"
Antibradykinetic,1,"Duke, 1992 *"
Antibradykinic,1,"Economic & Medicinal Plant Research, 5: 366."
Antibronchitic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticancer,9,"Duke, 1992 *"
"Anticancer (Breast)",2,"Duke, 1992 *"
"Anticancer (Cervix)",2,"Medicinal and Poisonous Plants of the Tropics. Leeuwenberg, A.J.M., ed. Pudoc, Wageningen. 1987."
"Anticancer (Colon)",2,"Duke, 1992 *"
"Anticancer (Forestomach)",1,"Duke, 1992 *"
"Anticancer (Gastric)",1,"Duke, 1992 *"
"Anticancer (Liver)",1,"Duke, 1992 *"
"Anticancer (Lung)",2,"Duke, 1992 *"
"Anticancer (Pancreas)",1,"Duke, 1992 *"
"Anticancer (Skin)",1,"Duke, 1992 *"
Anticanker,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticapillary-Fragility,2,"Martindale's 28th"
Anticarcinogenic,4,"Economic & Medicinal Plant Research, 6: 189."
Anticarcinomic,6,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anticardiospasmic,1,"Duke, 1992 *"
Anticariogenic,10,"Muroi, H. and Kubo, I. 1993. Combination Effects of Antibacterial Compounds in Green Tea Flavor against Streptococcus mutans. J. Agric. Food Chem. 41: 1102-1105."
Anticarpal-Tunnel,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticataract,11,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Anticatarrh,1,"Martindale's 29th"
Anticephalagic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticervicaldysplasic,3,"Duke, 1992 *"
AntiCFS,2,"Duke, 1992 *"
Anticheilitic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antichilblain,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticholestatic,1,"Shukla, B., Visen, P.K.S., Patnaik, G.K., Tripathi, S.C., Srimal, R.C., Dayal, R., and Dobhal, P.C. Hepatoprotective Activity in the Rat of Ursolic Acid Isolated from Eucalyptus Hybrid. Phytotherapy Research 6: 74-79, 1992."
