Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,3,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
Acidifier,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Acidulant,2,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adaptogenic,1,"Duke, 1992 *"
Additive,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Aldose-Reductase-Inhibitor,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Allergenic,7,"Duke, 1992 *"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Glucosidase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,5,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Anorexic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Anthelmintic,1,"Duke, 1992 *"
Antiacne,5,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,3,"Duke, 1992 *"
Antiaging,3,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,4,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,4,"Duke, 1992 *"
Antialopecic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,4,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiamblyopic,1,"Duke, 1992 *"
Antianaphylactic,1,"Duke, 1992 *"
Antiandrogenic,2,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,2,"Duke, 1992 *"
