Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,1,"Duke, 1992 *"
12-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
"17-beta-hydroxysteroid dehydrogenase-Inhibitor",1,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,3,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Acaricide,3,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Acidulant,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Adaptogenic,1,"Duke, 1992 *"
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldose-Reductase-Inhibitor,11,"Kohda, H., Tanaka, S., Yamaoka, Y., Yahara, S., Nohara, T., Tanimoto, T., Tanaka, A. 1989. Studies on Lens-Aldose-Reductase Inhibitor in Medicinal Plants.II Active Constituents of Monochasma savatierii FRANCH, et MAXIM. Chem. Pharm. Bull. 37(11):3153-3154"
Allelochemic,3,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allelopathic,1,"Wright,C.W.(Ed)2002.Medicinal&Aromatic Plants-Industrial Profiles.Artemisia.344pp.Maffei,M.(Ed)2002.Vetiveria.The Genus Vetiveria.Taylor&Francis.NY,NY.191pp.Southwell,I.,Lowe,R.(Eds)1999.Tea Tree.The Genus Melaleuca.Harwood Acad.Pub.Amsterdam,Netherlands."
Allergenic,6,"Martindale's 28th"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,6,"Merck 11th Edition"
Anaphrodisiac,1,"Medline (post 1990 searches filed in my computer)"
Androgenic,1,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,5,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,1,"Duke, 1992 *"
Anorexic,2,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antiacetylcholinesterase,2,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,4,"Duke, 1992 *"
Antiacrodermatitic,1,"Martindale's 29th"
AntiADD,2,"Martindale's 29th"
Antiadenomic,1,"Merck 11th Edition"
Antiaflatoxin,2,"Duke, 1992 *"
Antiaggregant,14,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,3,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antialkalotic,1,"Martindale's 29th"
