Activity,"Chemical Count",Reference
11B-HSD-Inhibitor,4,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,2,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
ACE-Inhibitor,1,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,2,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adrenergic,1,"Merck 11th Edition"
Aldehyde-Oxidase-Inhibitor,1,"Duke, 1992 *"
Aldose-Reductase-Inhibitor,9,"Shimizu, M., Ito, T., Terashima, S., Hayashi, T., Arisawa, M., Morita, N., Kurokawa, S., Ito, K., and Hashimoto, Y. 1984. Inhibition of Lens Aldose Reductase by Flavonoids. Phytochemistry, 23: 1885-1888."
Allelochemic,1,"Lydon, J. & Duke, S., The potential of pesticides from plants, pp. 1-41 in Craker, L. & Simon, J., eds, Herbs, Spices & Medicinal Plants: Recent Advances in Botany, Horticulture, & Pharmacology, v. 4, Oryx Press, Phoenix, 1989, 267pp."
Allergenic,5,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analeptic,1,"Duke, 1992 *"
Analgesic,4,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,1,"Martindale's 28th"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorexic,2,"Martindale's 28th"
Antiacetylcholinesterase,1,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,6,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,1,"Duke, 1992 *"
AntiAddisonian,1,"Duke, 1992 *"
Antiadenomic,1,"Merck 11th Edition"
Antiaflatoxin,4,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,8,"Duke, 1992 *"
Antiaging,5,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,4,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkali?,1,"Martindale's 29th"
Antiallergic,7,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,5,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiamblyopic,1,"Duke, 1992 *"
Antiamnesic,1,"Duke, 1992 *"
