Activity,"Chemical Count",Reference
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
Acetylcholinergic,1,"Duke, 1992 *"
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Aldose-Reductase-Inhibitor,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Allergenic,3,"Duke, 1992 *"
Alpha-Amylase-Inhibitor,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,3,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,2,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacne,2,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antiadenomic,1,"Merck 11th Edition"
AntiAGE,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,1,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaging,2,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,2,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiallergic,2,"Duke, 1992 *"
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antianaphylactic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,5,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,1,"Martindale's 29th"
Antianorectic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antianxiety,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiaphthic,1,"Martindale's 28th"
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarrhythmic,1,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,4,"Duke, 1992 *"
Antiasthmatic,3,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiatherosclerotic,3,"Duke, 1992 *"
Antibackache,1,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antibacterial,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
