Activity,"Chemical Count",Reference
(-)-Chronotropic,3,"Duke, 1992 *"
(-)-Inotropic,3,"Duke, 1992 *"
11B-HSD-Inhibitor,2,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
Acaricide,2,"Duke, 1992 *"
ACE-Inhibitor,2,"Duke, 1992 *"
AChE-Inhibitor,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Aggregant,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Aldose-Reductase-Inhibitor,6,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Allelochemic,3,"Duke, 1992 *"
Allelopathic,1,"Duke, 1992 *"
Allergenic,7,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Analgesic,9,"Duke, 1992 *"
Androgenic,1,"Duke, 1992 *"
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,2,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Anorexic,1,"Martindale's 28th"
Anthelmintic,1,"Duke, 1992 *"
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,4,"Duke, 1992 *"
Antiacne,3,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
AntiADD,1,"Duke, 1992 *"
Antiadenomic,2,"Merck 11th Edition"
Antiaflatoxin,3,"Duke, 1992 *"
Antiaggregant,2,"Duke, 1992 *"
Antiaging,1,"Duke, 1992 *"
Antialcoholic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiallergenic,1,"Duke, 1992 *"
Antiallergic,4,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialopecic,3,"Duke, 1992 *"
Antialzheimeran,1,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
Antialzheimeran?,2,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antianaphylactic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiandrogenic,4,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antiangiogenic,2,"Duke, 1992 *"
Antianoxic,1,"Yamahara, J., Matsuda, H., Naitoh, Y., Fujimura, H., and Tamai, Y. 1990. Antianoxic Action and Active Constituents of Atractylodis Lanceae Rhizoma. Chem. Pharm. Bull. 38(7): 2033-2034, 1990."
Antiarrhythmic,3,"Duke, 1992 *"
Antiarteriosclerotic,1,"Duke, 1992 *"
Antiarthritic,3,"Duke, 1992 *"
Antiasthmatic,3,"Duke, 1992 *"
Antiatherogenic,1,"Duke, 1992 *"
Antibacillary,1,"Duke, 1992 *"
Antibacterial,15,"Economou, D., and Nahrstedt, A. 1991. Chemical, Physiological, and Toxicological Aspects of the Essential Oil of Some Species of the Genus Bystropogon*. Planta Medica, 57: 347, 1991."
Antibronchitic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Anticancer,5,"Duke, 1992 *"
"Anticancer (Breast)",1,"Madhavi, D. L., Bomser, J., Smith, M., Singletary, K. 1998. Isolation of Bioactive Constituents from Vaccinium myrtillus (Bilberry) Fruits and Cell Cultures. Plant Sci., 131(1): 95-103."
"Anticancer (Cervix)",1,"Duke, 1992 *"
"Anticancer (Colon)",1,"Ringbom, T., Seguar, L., Noreen, Y., Perera, P., Bohlin, L. 1998. Ursolic Acid from Plantago major, a Selective Inhibitor of Cyclooxygenase-2 Catalyzed Prostaglandin Biosynthesis. J. Nat. Prod., 61(10): 1212-1215."
"Anticancer (Lung)",2,"Duke, 1992 *"
Anticapillary-Fragility,1,"Duke, 1992 *"
Anticarcinogenic,1,"Duke, 1992 *"
Anticarcinomic,2,"Chiang, L. C., Chiang, W., Chang, M. Y., Ng, L. T., Lin, C. C. 2003. Antileukemic activity of selected natural products in Taiwan. Am J Chin Med, 31(1):37-46."
Anticariogenic,2,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
Anticataract,1,"Shin*, K.H., Chung, M.S., Chae, Y.J., Yoon, K.Y., Cho, T.S. 1992. A survey for aldose reductase inhibition of herbal medicines. Fitoterapia 64(2): 130, 1993."
Anticholestatic,1,"Shukla, B., Visen, P.K.S., Patnaik, G.K., Tripathi, S.C., Srimal, R.C., Dayal, R., and Dobhal, P.C. Hepatoprotective Activity in the Rat of Ursolic Acid Isolated from Eucalyptus Hybrid. Phytotherapy Research 6: 74-79, 1992."
Anticholinesterase,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Anticomplement,1,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
Anticomplementary,2,"Duke, 1992 *"
Anticonvulsant,1,"Duke, 1992 *"
Anticoronary,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antidermatic,1,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp."
Antidermatitic,1,"Bisset, N.G., ed. 1994. Herbal Drugs and Phytopharmaceuticals. CRC Press. Boca Raton, FL. 566 pp."
Antidiabetic,3,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antidiarrheic,2,"Duke, 1992 *"
Antidysenteric,2,"Duke, 1992 *"
AntiEBV,2,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antieczemic,1,"Economic & Medicinal Plant Research, 6: 189."
Antiedemic,5,"Duke, 1992 *"
Antiemetic,1,"Huang, K. C. 1993. The Pharmacology of Chinese Herbs. CRC Press, Boca Raton, FL 388 pp."
Antiescherichic,2,"Duke, 1992 *"
Antiesophagitic,1,"Duke, 1992 *"
Antiestrogenic,3,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antifeedant,9,"Duke, 1992 *"
Antifertility,2,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antifibrinolytic,3,"Economic & Medicinal Plant Research, 1: 53."
Antifibrosarcomic,1,"Duke, 1992 *"
Antifibrositic,1,"Martindale's 28th"
Antiflu,3,"Economic & Medicinal Plant Research, 5: 195."
Antigingivitic,1,"Duke, 1992 *"
Antigonadotrophic,1,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antigranular,1,"Duke, 1992 *"
Antihangover,1,"Duke, 1992 *"
Antihepatotoxic,2,"Shukla, B., Visen, P.K.S., Patnaik, G.K., Tripathi, S.C., Srimal, R.C., Dayal, R., and Dobhal, P.C. Hepatoprotective Activity in the Rat of Ursolic Acid Isolated from Eucalyptus Hybrid. Phytotherapy Research 6: 74-79, 1992."
Antiherpetic,3,"Duke, 1992 *"
Antihiccup,1,"Martindale's 29th"
Antihistaminic,7,"Ortiz De Urbina, A.V., Martin, M.L., Montero, M.J., Carron, R., Sevilla, M.A., San Roman, L. 1989. Antihistaminic activity of pulegone on the guinea-pig ileum. J. Pharm. Pharmacol. 42: 295-296, 1990."
AntiHIV,4,"Duke, 1992 *"
Antihyperlipidemic,1,"Duke, 1992 *"
Antihyperlipoproteinaemic,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antihypertensive,1,"Duke, 1992 *"
Antiimplantation,1,"Duke, 1992 *"
Antiinflammatory,16,"Duke, 1992 *"
Antiketotic,1,"Merck 11th Edition"
Antileishmanic,1,"Duke, 1992 *"
Antileukemic,5,"Duke, 1992 *"
