Activity,"Chemical Count",Reference
(-)-Chronotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
(-)-Inotropic,2,"Hansel, R., Keller, K., Rimpler, H., and Schneider, G. eds. 1992. Hager's Handbuch der Pharmazeutischen Praxis, Drogen (A-D), 1209 pp., 1993 (E-O), 970 pp., 1994 (P-Z), 1196 pp. Springer-Verlag, Berlin."
11B-HSD-Inhibitor,3,"Duke, 1992 *"
5-Alpha-Reductase-Inhibitor,4,"Duke, 1992 *"
5-Lipoxygenase-Inhibitor,1,"Duke, 1992 *"
ABeta-Inhibitor,1,"Duke, 1992 *"
Abortifacient,1,"Duke, 1992 *"
Acaricide,7,"Duke, 1992 *"
ACE-Inhibitor,6,"Duke, 1992 *"
AChE-Inhibitor,1,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Acidulant,1,"Aloe Research Council - Duke writeup of non-peer reviewd book by Coats and draft by Henry"
Adenylate-Cyclase-Inhibitor,1,"Duke, 1992 *"
Adjuvant,1,"Merck 11th Edition"
Aldose-Reductase-Inhibitor,27,"Duke, 1992 *"
Allelochemic,5,"Duke, 1992 *"
Allelopathic,9,"Duke, 1992 *"
Allergenic,22,"Duke, 1992 *"
Allergenic?,1,"Duke, 1992 *"
Alpha-Reductase-Inhibitor,1,"Duke, 1992 *"
Amphiglycemic?,1,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Analgesic,21,"Duke, 1992 *"
Ancylostomicide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Androgenic,2,"Duke, 1992 *"
Androgenic?,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Anemiagenic,1,"Duke, 1992 *"
Anesthetic,8,"Duke, 1992 *"
Angiogenic,1,"Duke, 1992 *"
Angiotensin-Receptor-Blocker,3,"Duke, 1992 *"
Ankylostomacide,1,"Madaus, G. 1976. Lehrbuch der Biologischen Hilfmittel. Vol,. 1-3. 2862 pp. (+ 144 p. index). Georg Olms Verlag, Hildescheim. Reprint of 1938 Madaus."
Anorexic,2,"Martindale's 28th"
Anthelmintic,5,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiacetylcholine,1,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
Antiacetylcholinesterase,9,"Duke, 1992 *"
Antiacid,1,"Martindale's 29th"
Antiacne,14,"Nigg, H.N. and Seigler, D.S., eds. 1992. Phytochemical Resources for Medicine and Agriculture. Plenum Press, New York. 445 pp."
Antiacrodermatitic,1,"Martindale's 29th"
Antiacrodynic,1,"Duke, 1992 *"
AntiADD,2,"Martindale's 29th"
Antiadenomic,2,"Merck 11th Edition"
Antiadenoviral,1,"Economic & Medicinal Plant Research, 5: 207."
Antiadenovirus,1,"Economic & Medicinal Plant Research, 5: 194."
Antiaflatoxin,3,"Duke, 1992 *"
AntiAGE,2,"Challem, J., Berkson, Burt, and Smith, Melissa Dianne. 2000.
Syndrome X - The complete nutritional program to prevent and reservse insulin resistance. John Wiley & Sons, New York. 272 pp. $24.95"
Antiaggregant,16,"Cunane, S. and Thompson, L. U., eds. 1995. Flaxseed in Human Nutrition. AOCS Press, Champaign IL. 384 pp."
Antiaging,5,"Duke, 1992 *"
Antiakathisic,1,"Martindale's 29th"
Antialcoholic,4,"Forest H. Nielsen, USDA, Grand Forks, various publications."
Antialdosteronic,1,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialkalotic,1,"Martindale's 29th"
Antiallergenic,2,"Dorsch, W., Wagner, H. New Antiasthmatic Drugs from Traditional Medicine? Int Arch Allergy Appl Immunol 94: 262-265, 1991."
Antiallergic,13,"Pizzorno, J.E. and Murray, M.T. 1985. A Textbook of Natural Medicine. John Bastyr College Publications, Seattle, Washington (Looseleaf)."
Antialopecic,4,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antialzheimeran,8,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antialzheimeran?,3,"Grundy, D. L. and Still, C. C., Inhibition of acetylcholinesterases by pulegone-1,2-epoxide, Oest. Biochem. & Physiol., 23, 1985, 383-8."
Antiamblyopic,1,"Duke, 1992 *"
Antiamnesic,1,"Duke, 1992 *"
Antiamyloid-Beta,1,"Duke, 1992 *"
Antianaphylactic,5,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiandrogenic,5,"Malini, T. and Vanithakumari, G. 1989. Rat Toxicity Studies With B-Sitosterol. Journal of Ethnopharmacology, 28: 221-234, 1990."
Antianemic,3,"Martindale's 29th"
Antianginal,2,"Werbach, M. 1993. Healing with Food. Harper Collins, New York, 443 pp."
Antiangiogenic,5,"Duke, 1992 *"
Antianorectic,2,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antianorexic,1,"Martindale's 29th"
Antianxiety,3,"Davies, S., and Stewart, A. 1990. Nutritional Medicine. Avon Books, New York. 509pp."
Antiarabiflavinotic,1,"Martindale's 28th"
Antiarachidonate,1,"Duke, 1992 *"
Antiarrhythmic,7,"Duke, 1992 *"
Antiarteriosclerotic,2,"Duke, 1992 *"
Antiarthritic,11,"Duke, 1992 *"
