Activity,"Chemical Count",Reference
Anticarcinomic,1,"Duke, 1992 *"
Antifeedant,1,"Duke, 1992 *"
Antiflu,1,"Duke, 1992 *"
AntiHIV,1,"Duke, 1992 *"
Antiinflammatory,1,"Recio, M., et al. 1994. Investigations on the Steroidal Anti-Inflammatory Activity of Triterpenoids from Diospyros leucomelas*. Planta Medica, 61: 9."
Antitumor,1,"Jeffery B. Harborne and H. Baxter, eds. 1983. Phytochemical Dictionary. A Handbook of Bioactive Compounds from Plants. Taylor & Frost, London. 791 pp."
Antiviral,1,"Duke, 1992 *"
Aphidifuge,1,"Lugemwa, F.N., Huang, F-Y., Bentley, M.D., Mendel, M.J., and Alford, A.R. 1990. A Heliothis zea Antifeedant from the Abundant Birchbark Triterpene Betulin. J. Agric. Food Chem. 38(2): 493-494."
Cytotoxic,1,"Duke, 1992 *"
Hypolipemic,1,"Duke, 1992 *"
Prostaglandin-Synthesis-Inhibitor,1,"Huang, C., Tunon, H., Bohlin, L. 1995. Anti-Inflammatory Compounds Isolated from Menyanthes trifoliata L. Yao Hsueh Hsueh Pao, 30(8): 621-626."
Topoisomerase-II-Inhibitor,1,"Duke, 1992 *"
