,...1,id,plant_name,uid,count,part,duration,products,clinical_trial_count,median_height,pop_status,activities
1,1,1,Withania somnifera,126910,221,Roots,150 to 180,,26,2.4,DD,361
2,2,2,Salvia miltiorrhiza,226208,214,Roots,150,,18,0.3,DD,166
3,3,3,Moringa oleifera,3735,211,Leaves,,,23,4,LC,561
4,4,4,Panax ginseng,4054,154,Roots,1460,,104,0.4,DD,768
5,5,5,Catharanthus roseus,4058,148,Leaves,60,,0,0.35,DD,355
6,6,6,Andrographis paniculata,175694,139,Leaves,45,,12,0.7,DD,21
7,7,7,Cannabis sativa,3483,126,Flowers,150,,756,1.65,DD,363
8,8,8,Centella asiatica,48106,119,Leaves,60,,17,0.225,LC,587
9,9,9,Nigella sativa,555479,117,Seeds,150,,41,0.3,DD,387
10,10,10,Aloe vera,34199,115,Leaves,150,,47,0.3,DD,564
11,11,11,Hypericum perforatum,65561,113,Aerial Parts,150,,39,0.515,LC,641
12,12,12,Artemisia annua,35608,110,Aerial Parts,150,,5,0.975,DD,502
13,13,13,Ocimum basilicum,39350,104,Leaves,60,,5,0.4,DD,819
14,14,14,Panax notoginseng,44586,100,Roots,1825,,8,0.5,DD,217
15,15,15,Curcuma longa,136217,97,Rhizome,240,,84,0.7,DD,658
16,16,16,Salvia officinalis,38868,95,Leaves,75,,32,0.36,LC,749
17,17,17,Melissa officinalis,39338,84,Leaves,60,,23,0.55,LC,368
18,18,18,Momordica charantia,3673,83,Fruit,,,13,4,DD,444
19,19,19,Azadirachta indica,124943,82,Leaves,,,16,10.2,LC,379
20,20,20,Stevia rebaudiana,55670,80,Leaves,60,,22,0.6,DD,599
21,21,21,Dendrobium officinale,142615,79,Stems,365,,0,0.1,CR,0
22,22,22,Bacopa monnieri,263974,78,Aerial Parts,180,,8,0.0275,LC,204
23,23,23,Ginkgo biloba,3311,76,Leaves,,,87,30,EN,0
24,24,24,Silybum marianum,92921,76,Seeds,120,,22,1.45,LC,546
25,25,25,Zingiber officinale,94328,74,Rhizome,240,,90,0.75,DD,843
26,26,26,Salvia rosmarinus,39367,71,Leaves,90,,2,0.6,LC,749
27,27,27,Glycyrrhiza glabra,49827,70,Roots,1095,,25,0.775,LC,812
28,28,28,Ocimum tenuiflorum,204149,68,Leaves,90,,4,0.6,DD,519
29,29,29,Tinospora cordifolia,285590,68,Stems,,,0,10,DD,0
30,30,30,Thymus vulgaris,49992,66,Aerial Parts,90,,18,0.2,LC,756
31,31,31,Scutellaria baicalensis,65409,63,Roots,180,,3,0.31,DD,487
32,32,32,Calotropis procera,141467,62,Roots,280,,0,1.5,LC,0
33,33,33,Glycyrrhiza uralensis,74613,61,Roots,1095,,3,0.3,DD,443
34,34,34,Anethum foeniculum,2849586,59,Seeds,70,,0,1.5,DD,0
35,35,35,Allium sativum,4682,58,Bulb,180,,56,0.4625,DD,813
36,36,36,Echinacea purpurea,53751,58,Whole Plant,120,,23,0.68,LC,517
