id,plant_name,uid,count,height,part,duration,medicinal_activites,products,population,clinical_trial_count
1,Withania somnifera,126910,221,,,,,,DD,26
2,Salvia miltiorrhiza,226208,214,,,,,,,18
3,Moringa oleifera,3735,211,,,,,,,23
4,Panax ginseng,4054,154,,,,,,,104
5,Catharanthus roseus,4058,148,,,,,,,0
6,Andrographis paniculata,175694,139,,,,,,,12
7,Cannabis sativa,3483,126,,,,,,,756
8,Centella asiatica,48106,119,,,,,,,17
9,Nigella sativa,555479,117,,,,,,,41
10,Aloe vera,34199,115,,,,,,,47
11,Hypericum perforatum,65561,113,,,,,,,39
12,Artemisia annua,35608,110,,,,,,,5
13,Ocimum basilicum,39350,104,,,,,,,5
14,Panax notoginseng,44586,100,,,,,,,8
15,Curcuma longa,136217,97,,,,,,DD,84
16,Salvia officinalis,38868,95,,,,,,,32
17,Melissa officinalis,39338,84,,,,,,,23
18,Momordica charantia,3673,83,,,,,,,13
19,Azadirachta indica,124943,82,,,,,,,16
20,Stevia rebaudiana,55670,80,,,,,,,22
21,Dendrobium officinale,142615,79,,,,,,,0
22,Bacopa monnieri,263974,78,,,,,,,8
23,Ginkgo biloba,3311,76,,,,,,,87
24,Silybum marianum,92921,76,,,,,,,22
25,Zingiber officinale,94328,74,,,,,,,90
26,Salvia rosmarinus,39367,71,,,,,,,2
27,Glycyrrhiza glabra,49827,70,,,,,,,25
28,Ocimum tenuiflorum,204149,68,,,,,,,4
29,Tinospora cordifolia,285590,68,,,,,,,0
30,Thymus vulgaris,49992,66,,,,,,,18
31,Scutellaria baicalensis,65409,63,,,,,,,3
32,Calotropis procera,141467,62,,,,,,,0
33,Glycyrrhiza uralensis,74613,61,,,,,,,3
34,Anethum foeniculum,2849586,59,,,,,,,0
35,Allium sativum,4682,58,,,,,,,56
36,Echinacea purpurea,53751,58,,,,,,,23
37,Origanum vulgare,39352,58,,,,,,,4
38,Crocus sativus,82528,54,,,,,,,3
39,Astragalus membranaceus,649199,53,,,,,,,24
40,Gymnema sylvestre,4068,52,,,,,,,7
41,Mentha x piperita,34256,50,,,,,,,48
42,Rehmannia glutinosa,99300,50,,,,,,,1
43,Lonicera japonica,105884,48,,,,,,,2
44,Paris polyphylla,49666,47,,,,,,,0
45,Picrorhiza kurrooa,195120,47,,,,,,,0
46,Allium cepa,4679,46,,,,,,,22
47,Camellia sinensis,4442,43,,,,,,,363
48,Cyclocarya paliurus,117167,43,,,,,,,1
49,Emblica officinalis,296036,43,,,,,,,6
