"","AccSpeciesID","AccSpeciesName","median_height","uid"
"1",4,"Abarema brachystachya",10,"1472298"
"2",6,"Abarema jupunba",35,"2736927"
"3",8,"Abarema macradenia",31.670557985,"2899102"
"4",9,"Abarema mataybifolia",22,"1186076"
"5",13,"Abatia parviflora",4,"112815"
"6",26,"Abelmoschus esculentus",2,"455045"
"7",29,"Abies alba",50,"45372"
"8",30,"Abies amabilis",46,"97174"
"9",32,"Abies balsamea",0.84,"90345"
"10",35,"Abies bracteata",30,"66168"
"11",36,"Abies cephalonica",25,"74306"
"12",37,"Abies chensiensis",55,"425836"
"13",38,"Abies cilicica",30,"338078"
"14",39,"Abies concolor",50,"97173"
"15",40,"Abies delavayi",25,"425837"
"16",43,"Abies fabri",40,"97166"
"17",44,"Abies fargesii",40,"97167"
"18",46,"Abies firma",4.975,"78260"
"19",47,"Abies forrestii",25,"425841"
"20",48,"Abies fraseri",18,"97172"
"21",50,"Abies grandis",13.07844,"46611"
"22",52,"Abies holophylla",40,"97168"
"23",53,"Abies homolepis",30,"78261"
"24",54,"Abies kawakamii",35,"342582"
"25",55,"Abies koreana",15,"97170"
"26",56,"Abies lasiocarpa",2.02,"34340"
"27",57,"Abies magnifica",50,"3320"
"28",58,"Abies mariesii",30,"78263"
"29",60,"Abies nebrodensis",15,"97176"
"30",61,"Abies nephrolepis",30,"97171"
"31",62,"Abies nordmanniana",50,"97177"
"32",63,"Abies numidica",20,"88725"
"33",65,"Abies pindrow",60,"425843"
"34",66,"Abies pinsapo",25,"56046"
"35",67,"Abies procera",65,"97175"
"36",68,"Abies recurvata",40,"1045218"
"37",69,"Abies religiosa",40,"425948"
"38",70,"Abies sachalinensis",4.36,"78264"
"39",71,"Abies sibirica",35,"97169"
"40",73,"Abies spectabilis",50,"342581"
"41",74,"Abies squamata",40,"1045220"
"42",75,"Abies veitchii",13.23,"78262"
"43",77,"Abroma augusta",4,NA
"44",78,"Abronia fragrans",0.4,"117576"
"45",79,"Abronia latifolia",1.5,"2067805"
"46",84,"Abrophyllum ornans",5.551,"49579"
"47",89,"Abuta grandifolia",3,"341013"
"48",99,"Abutilon angulatum",2,"993651"
"49",100,"Abutilon austroafricanum",0.625,"2896456"
"50",103,"Abutilon cryptopetalum",0.6,"2528863"
"51",105,"Abutilon englerianum",2,NA
"52",107,"Abutilon fraseri",0.4,"183221"
"53",108,"Abutilon fruticosum",1.25,"1423375"
"54",110,"Abutilon grandiflorum",1.5,"2511948"
"55",113,"Abutilon guineense",1.5,NA
"56",114,"Abutilon hirtum",1.5,"2511949"
"57",117,"Abutilon lauraster",1.5,NA
"58",118,"Abutilon longicuspe",5,NA
"59",120,"Abutilon mauritianum",1.5,"1670833"
"60",131,"Abutilon ramosum",1.25,"1812452"
"61",133,"Abutilon rehmannii",3,NA
"62",136,"Abutilon sonneratianum",1.5,"1237391"
"63",139,"Abutilon theophrasti",1.35,"3631"
"64",151,"Acacia acuminata",1.2,"178749"
"65",159,"Acacia alleniana",4,"1469204"
"66",169,"Acacia aneura",8,"205021"
"67",182,"Acacia aulacocarpa",12,"138511"
"68",185,"Acacia auriculiformis",30,"205027"
"69",188,"Acacia baileyana",7.5,"383632"
"70",197,"Acacia binervata",10,"138512"
"71",198,"Acacia binervia",8.933333333,"1174742"
"72",208,"Acacia brachybotrya",1.5,"383634"
"73",209,"Acacia brachystachya",4.5,"205031"
"74",213,"Acacia brownii",0.2,"3083470"
"75",217,"Acacia burkei",4.5,"875630"
"76",225,"Acacia cambagei",12.5,"1173637"
"77",226,"Acacia cana",1,"1173638"
"78",236,"Acacia cheelii",4,"1173640"
"79",248,"Acacia colletioides",2.6,"1173641"
"80",253,"Acacia conferta",1.5,"205037"
"81",265,"Acacia cowleana",7,"1174765"
"82",267,"Acacia crassicarpa",20,"499986"
"83",269,"Acacia cultriformis",1.5,"138515"
"84",272,"Acacia cuthbertsonii",6,"1173644"
"85",274,"Acacia cyclops",3.6576,"546665"
"86",275,"Acacia cyperophylla",14,"198744"
"87",279,"Acacia dealbata",7.9,"205042"
"88",280,"Acacia deanei",6,"205356"
"89",281,"Acacia decora",2,"1174771"
"90",282,"Acacia decurrens",4,"205044"
"91",284,"Acacia desmondii",6,"1174772"
"92",287,"Acacia difficilis",9,"1174774"
"93",294,"Acacia doratoxylon",6,"694541"
"94",302,"Acacia elata",18,"138021"
"95",310,"Acacia estrophiolata",16,"1174787"
"96",313,"Acacia excelsa",20,"1174788"
"97",316,"Acacia falcata",2,"1120449"
"98",322,"Acacia filicifolia",4,"383643"
"99",325,"Acacia flavescens",16,"1378358"
"100",329,"Acacia floribunda",4,"866001"
"101",335,"Acacia genistifolia",1.2,"198746"
"102",338,"Acacia georginae",8,"1173648"
"103",355,"Acacia grasbyi",4.086666667,"1173649"
"104",360,"Acacia hakeoides",4,"1120451"
"105",364,"Acacia havilandiorum",4,"1173650"
"106",367,"Acacia hemignosta",10,"1378451"
"107",375,"Acacia holosericea",5,"1120455"
"108",376,"Acacia homalophylla",10,NA
"109",381,"Acacia implexa",4,"1120457"
"110",387,"Acacia irrorata",11,"383645"
"111",396,"Acacia kempeana",4.5,"1120459"
"112",399,"Acacia koa",38.264,"468172"
"113",400,"Acacia koaia",15.24,"1387187"
"114",411,"Acacia latescens",6.8,"1174832"
"115",414,"Acacia latzii",5,"1174834"
"116",425,"Acacia ligulata",5,"138025"
"117",428,"Acacia lineata",1.1,"138026"
"118",430,"Acacia linifolia",4,"1120462"
"119",434,"Acacia longifolia",6.096,"139010"
"120",436,"Acacia longissima",1.45,"866002"
"121",454,"Acacia maitlandii",3,"1174845"
"122",455,"Acacia mangium",10,"224085"
"123",458,"Acacia mearnsii",8.6,"139012"
"124",462,"Acacia melanoxylon",30,"138028"
"125",477,"Acacia monticola",8,"138031"
"126",482,"Acacia muelleriana",0.5,"383649"
"127",485,"Acacia murrayana",8,"334160"
"128",486,"Acacia myrtifolia",1,"138032"
