,id,plant_name,uid,count,part,duration,medicinal_activites,products,population,clinical_trial_count,median_height,pop_status
1,1,Withania somnifera,126910,221,,,,,,26,2.4,DD
2,2,Salvia miltiorrhiza,226208,214,,166,,,,18,NA,DD
3,3,Moringa oleifera,3735,211,,,,,,23,4,LC
4,4,Panax ginseng,4054,154,,,,,,104,NA,DD
5,5,Catharanthus roseus,4058,148,,,,,,0,NA,DD
6,6,Andrographis paniculata,175694,139,,,,,,12,NA,DD
7,7,Cannabis sativa,3483,126,,,,,,756,1.65,DD
8,8,Centella asiatica,48106,119,,,,,,17,0.225,LC
9,9,Nigella sativa,555479,117,,,,,,41,0.3,DD
10,10,Aloe vera,34199,115,,,,,,47,NA,DD
11,11,Hypericum perforatum,65561,113,,,,,,39,0.515,LC
12,12,Artemisia annua,35608,110,,,,,,5,0.975,DD
13,13,Ocimum basilicum,39350,104,,,,,,5,0.4,DD
14,14,Panax notoginseng,44586,100,,,,,,8,NA,DD
15,15,Curcuma longa,136217,97,,,,,,84,NA,DD
16,16,Salvia officinalis,38868,95,,,,,,32,0.36,LC
17,17,Melissa officinalis,39338,84,,,,,,23,0.55,LC
18,18,Momordica charantia,3673,83,,,,,,13,NA,DD
19,19,Azadirachta indica,124943,82,,,,,,16,10.2,LC
20,20,Stevia rebaudiana,55670,80,,,,,,22,NA,DD
21,21,Dendrobium officinale,142615,79,,,,,,0,NA,CR
22,22,Bacopa monnieri,263974,78,,,,,,8,0.0275,LC
23,23,Ginkgo biloba,3311,76,,,,,,87,30,EN
24,24,Silybum marianum,92921,76,,,,,,22,1.45,LC
25,25,Zingiber officinale,94328,74,,,,,,90,NA,DD
26,26,Salvia rosmarinus,39367,71,,,,,,2,0.6,LC
27,27,Glycyrrhiza glabra,49827,70,,,,,,25,0.775,LC
28,28,Ocimum tenuiflorum,204149,68,,,,,,4,NA,DD
29,29,Tinospora cordifolia,285590,68,,,,,,0,NA,DD
30,30,Thymus vulgaris,49992,66,,,,,,18,0.2,LC
31,31,Scutellaria baicalensis,65409,63,,,,,,3,0.31,DD
32,32,Calotropis procera,141467,62,,,,,,0,1.5,LC
33,33,Glycyrrhiza uralensis,74613,61,,,,,,3,0.3,DD
34,34,Anethum foeniculum,2849586,59,,,,,,0,1.5,DD
35,35,Allium sativum,4682,58,,,,,,56,0.4625,DD
36,36,Echinacea purpurea,53751,58,,,,,,23,0.68,LC
37,37,Origanum vulgare,39352,58,,,,,,4,0.4,LC
38,38,Crocus sativus,82528,54,,,,,,3,0.15,DD
39,39,Astragalus membranaceus,649199,53,,,,,,24,NA,DD
40,40,Gymnema sylvestre,4068,52,,,,,,7,4,DD
41,41,Mentha x piperita,34256,50,,,,,,48,NA,DD
42,42,Rehmannia glutinosa,99300,50,,,,,,1,NA,DD
43,43,Lonicera japonica,105884,48,,,,,,2,0.3048,DD
44,44,Paris polyphylla,49666,47,,,,,,0,NA,VU
45,45,Picrorhiza kurrooa,195120,47,,,,,,0,NA,DD
46,46,Allium cepa,4679,46,,,,,,22,0.7,DD
47,47,Camellia sinensis,4442,43,,,,,,363,3,DD
48,48,Cyclocarya paliurus,117167,43,,,,,,1,30,DD
49,49,Emblica officinalis,296036,43,,,,,,6,1.8,DD
50,50,Angelica sinensis,165353,42,,,,,,2,NA,DD
51,51,Coriandrum sativum,4047,42,,,,,,3,0.5,DD
52,52,Eucommia ulmoides,4392,41,,,,,,0,20,VU
53,53,Matricaria chamomilla,98504,41,,,,,,26,0.4195,LC
54,54,Plectranthus barbatus,41228,41,,,,,,2,NA,DD
55,55,Valeriana jatamansi,59170,41,,,,,,14,NA,DD
56,56,Cymbopogon citratus,66014,39,,,,,,5,NA,DD
57,57,Peganum harmala,43879,39,,,,,,0,0.175,DD
58,58,Perilla frutescens,48386,39,,,,,,2,NA,LC
59,59,Portulaca oleracea,46147,39,,,,,,1,0.1,LC
60,60,Urtica dioica,3501,39,,,,,,7,1.001546495,LC
61,61,Justicia adhatoda,141317,38,,,,,,0,3,LC
62,62,Matricaria chamomilla var. recutita,127986,38,,,,,,0,NA,LC
63,63,Murraya koenigii,159030,38,,,,,,0,3,DD
64,64,Zanthoxylum armatum,67938,38,,,,,,0,5,LC
65,65,Aegle marmelos,68527,37,,,,,,0,10,NT
66,66,Gastrodia elata,91201,37,,,,,,4,NA,VU
67,67,Houttuynia cordata,16752,37,,,,,,1,NA,DD
68,68,Solanum nigrum,4112,37,,,,,,6,0.6,DD
69,69,Calendula officinalis,41496,36,,,,,,3,0.4,DD
70,70,Psidium guajava,120290,36,,,,,,7,10,LC
71,71,Trachyspermum ammi,52570,36,,,,,,0,NA,DD
72,72,Nelumbo nucifera,4432,35,,,,,,2,NA,DD
73,73,Zataria multiflora,751877,35,,,,,,2,NA,DD
74,74,Lavandula angustifolia,39329,34,,,,,,100,0.38,LC
75,75,Morus alba,3498,34,,,,,,3,10,LC
76,76,Rhodiola rosea,203015,34,,,,,,7,0.15,LC
77,77,Schisandra chinensis,50507,34,,,,,,4,5,DD
78,78,Acorus calamus,4465,33,,,,,,0,1.2,LC
79,79,Clitoria ternatea,43366,33,,,,,,1,NA,DD
80,80,Morinda citrifolia,43522,33,,,,,,8,6.096,LC
81,81,Myrtus communis,119949,33,,,,,,0,1.135,LC
82,82,Plantago ovata,185002,33,,,,,,3,0.025,LC
83,83,Punica granatum,22663,33,,,,,,102,6.096,LC
84,84,Vitex negundo,361442,33,,,,,,1,1.5,LC
85,85,Capparis spinosa,65558,32,,,,,,0,0.75,LC
86,86,Citrullus colocynthis,252529,32,,,,,,1,1.65,DD
87,87,Hibiscus sabdariffa,183260,32,,,,,,18,1.5,DD
88,88,Lantana camara,126435,32,,,,,,0,2,DD
89,89,Lessertia frutescens,47091,32,,,,,,1,1.7,DD
90,90,Lycium barbarum,112863,32,,,,,,10,2.25,DD
91,91,Mentha arvensis,292239,32,,,,,,2,0.41,LC
92,92,Syzygium cumini,260142,32,,,,,,2,18.288,LC
93,93,Teucrium polium,1117157,32,,,,,,0,0.19,DD
94,94,Annona muricata,13337,31,,,,,,6,8,LC
95,95,Cuminum cyminum,52462,31,,,,,,16,0.25,DD
96,96,Gymnanthemum amygdalinum,82755,31,,,,,,1,8,DD
97,97,Hippophae rhamnoides,193516,31,,,,,,9,2.375,LC
98,98,Mucuna pruriens,157652,31,,,,,,3,NA,DD
99,99,Swertia chirayita,137887,31,,,,,,2,NA,DD
100,100,Tetrastigma hemsleyanum,1006121,31,,,,,,0,NA,DD
