"","...1","id","plant_name","uid","count","part","duration","medicinal_activites","products","population","clinical_trial_count","median_height","pop_status","activities"
"1",1,1,"Withania somnifera",126910,221,NA,NA,NA,NA,NA,26,2.4,"DD",361
"2",2,2,"Salvia miltiorrhiza",226208,214,NA,166,NA,NA,NA,18,NA,"DD",166
"3",3,3,"Moringa oleifera",3735,211,NA,NA,NA,NA,NA,23,4,"LC",561
"4",4,4,"Panax ginseng",4054,154,NA,NA,NA,NA,NA,104,NA,"DD",768
"5",5,5,"Catharanthus roseus",4058,148,NA,NA,NA,NA,NA,0,NA,"DD",355
"6",6,6,"Andrographis paniculata",175694,139,NA,NA,NA,NA,NA,12,NA,"DD",21
"7",7,7,"Cannabis sativa",3483,126,NA,NA,NA,NA,NA,756,1.65,"DD",363
"8",8,8,"Centella asiatica",48106,119,NA,NA,NA,NA,NA,17,0.225,"LC",587
"9",9,9,"Nigella sativa",555479,117,NA,NA,NA,NA,NA,41,0.3,"DD",387
"10",10,10,"Aloe vera",34199,115,NA,NA,NA,NA,NA,47,NA,"DD",564
"11",11,11,"Hypericum perforatum",65561,113,NA,NA,NA,NA,NA,39,0.515,"LC",641
"12",12,12,"Artemisia annua",35608,110,NA,NA,NA,NA,NA,5,0.975,"DD",502
"13",13,13,"Ocimum basilicum",39350,104,NA,NA,NA,NA,NA,5,0.4,"DD",819
"14",14,14,"Panax notoginseng",44586,100,NA,NA,NA,NA,NA,8,NA,"DD",217
"15",15,15,"Curcuma longa",136217,97,NA,NA,NA,NA,NA,84,NA,"DD",658
"16",16,16,"Salvia officinalis",38868,95,NA,NA,NA,NA,NA,32,0.36,"LC",749
"17",17,17,"Melissa officinalis",39338,84,NA,NA,NA,NA,NA,23,0.55,"LC",368
"18",18,18,"Momordica charantia",3673,83,NA,NA,NA,NA,NA,13,NA,"DD",444
"19",19,19,"Azadirachta indica",124943,82,NA,NA,NA,NA,NA,16,10.2,"LC",379
"20",20,20,"Stevia rebaudiana",55670,80,NA,NA,NA,NA,NA,22,NA,"DD",599
"21",21,21,"Dendrobium officinale",142615,79,NA,NA,NA,NA,NA,0,NA,"CR",NA
"22",22,22,"Bacopa monnieri",263974,78,NA,NA,NA,NA,NA,8,0.0275,"LC",204
"23",23,23,"Ginkgo biloba",3311,76,NA,NA,NA,NA,NA,87,30,"EN",NA
"24",24,24,"Silybum marianum",92921,76,NA,NA,NA,NA,NA,22,1.45,"LC",546
"25",25,25,"Zingiber officinale",94328,74,NA,NA,NA,NA,NA,90,NA,"DD",843
"26",26,26,"Salvia rosmarinus",39367,71,NA,NA,NA,NA,NA,2,0.6,"LC",749
"27",27,27,"Glycyrrhiza glabra",49827,70,NA,NA,NA,NA,NA,25,0.775,"LC",812
"28",28,28,"Ocimum tenuiflorum",204149,68,NA,NA,NA,NA,NA,4,NA,"DD",519
"29",29,29,"Tinospora cordifolia",285590,68,NA,NA,NA,NA,NA,0,NA,"DD",NA
"30",30,30,"Thymus vulgaris",49992,66,NA,NA,NA,NA,NA,18,0.2,"LC",756
"31",31,31,"Scutellaria baicalensis",65409,63,NA,NA,NA,NA,NA,3,0.31,"DD",487
"32",32,32,"Calotropis procera",141467,62,NA,NA,NA,NA,NA,0,1.5,"LC",NA
"33",33,33,"Glycyrrhiza uralensis",74613,61,NA,NA,NA,NA,NA,3,0.3,"DD",443
"34",34,34,"Anethum foeniculum",2849586,59,NA,NA,NA,NA,NA,0,1.5,"DD",NA
"35",35,35,"Allium sativum",4682,58,NA,NA,NA,NA,NA,56,0.4625,"DD",813
"36",36,36,"Echinacea purpurea",53751,58,NA,NA,NA,NA,NA,23,0.68,"LC",517
"37",37,37,"Origanum vulgare",39352,58,NA,NA,NA,NA,NA,4,0.4,"LC",163
"38",38,38,"Crocus sativus",82528,54,NA,NA,NA,NA,NA,3,0.15,"DD",504
"39",39,39,"Astragalus membranaceus",649199,53,NA,NA,NA,NA,NA,24,NA,"DD",575
"40",40,40,"Gymnema sylvestre",4068,52,NA,NA,NA,NA,NA,7,4,"DD",306
"41",41,41,"Mentha x piperita",34256,50,NA,NA,NA,NA,NA,48,NA,"DD",752
"42",42,42,"Rehmannia glutinosa",99300,50,NA,NA,NA,NA,NA,1,NA,"DD",273
"43",43,43,"Lonicera japonica",105884,48,NA,NA,NA,NA,NA,2,0.3048,"DD",371
"44",44,44,"Paris polyphylla",49666,47,NA,NA,NA,NA,NA,0,NA,"VU",17
"45",45,45,"Picrorhiza kurrooa",195120,47,NA,NA,NA,NA,NA,0,NA,"DD",75
"46",46,46,"Allium cepa",4679,46,NA,NA,NA,NA,NA,22,0.7,"DD",780
"47",47,47,"Camellia sinensis",4442,43,NA,NA,NA,NA,NA,363,3,"DD",870
"48",48,48,"Cyclocarya paliurus",117167,43,NA,NA,NA,NA,NA,1,30,"DD",NA
"49",49,49,"Emblica officinalis",296036,43,NA,NA,NA,NA,NA,6,1.8,"DD",NA
"50",50,50,"Angelica sinensis",165353,42,NA,NA,NA,NA,NA,2,NA,"DD",588
"51",51,51,"Coriandrum sativum",4047,42,NA,NA,NA,NA,NA,3,0.5,"DD",795
"52",52,52,"Eucommia ulmoides",4392,41,NA,NA,NA,NA,NA,0,20,"VU",375
"53",53,53,"Matricaria chamomilla",98504,41,NA,NA,NA,NA,NA,26,0.4195,"LC",NA
"54",54,54,"Plectranthus barbatus",41228,41,NA,NA,NA,NA,NA,2,NA,"DD",72
"55",55,55,"Valeriana jatamansi",59170,41,NA,NA,NA,NA,NA,14,NA,"DD",137
"56",56,56,"Cymbopogon citratus",66014,39,NA,NA,NA,NA,NA,5,NA,"DD",495
"57",57,57,"Peganum harmala",43879,39,NA,NA,NA,NA,NA,0,0.175,"DD",89
"58",58,58,"Perilla frutescens",48386,39,NA,NA,NA,NA,NA,2,NA,"LC",613
"59",59,59,"Portulaca oleracea",46147,39,NA,NA,NA,NA,NA,1,0.1,"LC",571
"60",60,60,"Urtica dioica",3501,39,NA,NA,NA,NA,NA,7,1.001546495,"LC",817
"61",61,61,"Justicia adhatoda",141317,38,NA,NA,NA,NA,NA,0,3,"LC",103
"62",62,62,"Matricaria chamomilla var. recutita",127986,38,NA,NA,NA,NA,NA,0,NA,"LC",NA
"63",63,63,"Murraya koenigii",159030,38,NA,NA,NA,NA,NA,0,3,"DD",382
"64",64,64,"Zanthoxylum armatum",67938,38,NA,NA,NA,NA,NA,0,5,"LC",NA
"65",65,65,"Aegle marmelos",68527,37,NA,NA,NA,NA,NA,0,10,"NT",319
"66",66,66,"Gastrodia elata",91201,37,NA,NA,NA,NA,NA,4,NA,"VU",177
"67",67,67,"Houttuynia cordata",16752,37,NA,NA,NA,NA,NA,1,NA,"DD",527
"68",68,68,"Solanum nigrum",4112,37,NA,NA,NA,NA,NA,6,0.6,"DD",316
"69",69,69,"Calendula officinalis",41496,36,NA,NA,NA,NA,NA,3,0.4,"DD",471
"70",70,70,"Psidium guajava",120290,36,NA,NA,NA,NA,NA,7,10,"LC",731
